coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
200,500,10,3,63.25,273.98,4.332,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
200,500,10,5,65.34,273.98,4.193,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
200,500,10,10,66.36,273.98,4.129,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
200,500,10,20,65.67,273.98,4.172,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
200,500,20,3,69.29,273.98,3.954,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
200,500,20,5,71.47,273.98,3.833,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
200,500,20,10,72.44,273.98,3.782,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
200,500,20,20,72.64,273.98,3.772,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
200,500,30,3,77.41,273.98,3.539,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
200,500,30,5,79.46,273.98,3.448,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
200,500,30,10,80.07,273.98,3.422,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
200,500,30,20,79.65,273.98,3.440,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
200,1000,10,3,66.45,273.98,4.123,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
200,1000,10,5,71.48,273.98,3.833,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
200,1000,10,10,74.34,273.98,3.685,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
200,1000,10,20,73.88,273.98,3.709,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
200,1000,20,3,74.83,273.98,3.661,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
200,1000,20,5,78.52,273.98,3.489,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
200,1000,20,10,78.62,273.98,3.485,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
200,1000,20,20,79.42,273.98,3.450,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
200,1000,30,3,81.69,273.98,3.354,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
200,1000,30,5,85.70,273.98,3.197,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
200,1000,30,10,86.60,273.98,3.164,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
200,1000,30,20,86.03,273.98,3.185,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
200,2000,10,3,75.47,273.98,3.630,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
200,2000,10,5,84.56,273.98,3.240,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
200,2000,10,10,85.73,273.98,3.196,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
200,2000,10,20,86.56,273.98,3.165,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
200,2000,20,3,82.37,273.98,3.326,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
200,2000,20,5,90.62,273.98,3.023,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
200,2000,20,10,92.01,273.98,2.978,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
200,2000,20,20,92.59,273.98,2.959,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
200,2000,30,3,90.02,273.98,3.044,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
200,2000,30,5,95.39,273.98,2.872,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
200,2000,30,10,97.37,273.98,2.814,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
200,2000,30,20,96.46,273.98,2.840,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
200,4000,10,3,91.29,273.98,3.001,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
200,4000,10,5,109.39,273.98,2.505,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
200,4000,10,10,111.87,273.98,2.449,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
200,4000,10,20,113.12,273.98,2.422,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
200,4000,20,3,97.98,273.98,2.796,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
200,4000,20,5,116.45,273.98,2.353,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
200,4000,20,10,117.78,273.98,2.326,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
200,4000,20,20,116.46,273.98,2.353,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
200,4000,30,3,104.35,273.98,2.626,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
200,4000,30,5,114.85,273.98,2.385,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
200,4000,30,10,120.61,273.98,2.272,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
200,4000,30,20,120.63,273.98,2.271,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
200,8000,10,3,123.09,273.98,2.226,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
200,8000,10,5,162.12,273.98,1.690,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
200,8000,10,10,163.26,273.98,1.678,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
200,8000,10,20,164.50,273.98,1.665,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
200,8000,20,3,129.98,273.98,2.108,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
200,8000,20,5,168.69,273.98,1.624,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
200,8000,20,10,169.56,273.98,1.616,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
200,8000,20,20,169.37,273.98,1.618,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
200,8000,30,3,137.54,273.98,1.992,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
200,8000,30,5,167.34,273.98,1.637,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
200,8000,30,10,175.01,273.98,1.566,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
200,8000,30,20,175.07,273.98,1.565,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
250,500,10,3,64.52,273.98,4.247,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
250,500,10,5,66.44,273.98,4.124,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
250,500,10,10,67.92,273.98,4.034,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
250,500,10,20,68.24,273.98,4.015,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
250,500,20,3,73.30,273.98,3.738,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
250,500,20,5,76.17,273.98,3.597,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
250,500,20,10,77.07,273.98,3.555,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
250,500,20,20,76.42,273.98,3.585,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
250,500,30,3,82.68,273.98,3.314,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
250,500,30,5,85.07,273.98,3.221,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
250,500,30,10,85.79,273.98,3.193,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
250,500,30,20,84.77,273.98,3.232,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
250,1000,10,3,68.04,273.98,4.027,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
250,1000,10,5,72.96,273.98,3.755,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
250,1000,10,10,75.23,273.98,3.642,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
250,1000,10,20,74.48,273.98,3.679,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
250,1000,20,3,77.55,273.98,3.533,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
250,1000,20,5,81.92,273.98,3.344,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
250,1000,20,10,81.94,273.98,3.344,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
250,1000,20,20,82.21,273.98,3.333,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
250,1000,30,3,86.70,273.98,3.160,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
250,1000,30,5,90.01,273.98,3.044,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
250,1000,30,10,91.03,273.98,3.010,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
250,1000,30,20,90.97,273.98,3.012,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
250,2000,10,3,76.07,273.98,3.602,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
250,2000,10,5,85.87,273.98,3.191,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
250,2000,10,10,88.08,273.98,3.110,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
250,2000,10,20,88.51,273.98,3.095,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
250,2000,20,3,85.34,273.98,3.210,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
250,2000,20,5,94.13,273.98,2.911,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
250,2000,20,10,95.68,273.98,2.864,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
250,2000,20,20,95.66,273.98,2.864,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
250,2000,30,3,94.77,273.98,2.891,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
250,2000,30,5,101.43,273.98,2.701,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
250,2000,30,10,102.17,273.98,2.682,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
250,2000,30,20,102.48,273.98,2.673,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
250,4000,10,3,92.39,273.98,2.965,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
250,4000,10,5,111.88,273.98,2.449,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
250,4000,10,10,112.20,273.98,2.442,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
250,4000,10,20,113.43,273.98,2.415,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
250,4000,20,3,100.75,273.98,2.719,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
250,4000,20,5,118.96,273.98,2.303,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
250,4000,20,10,120.44,273.98,2.275,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
250,4000,20,20,120.42,273.98,2.275,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
250,4000,30,3,110.31,273.98,2.484,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
250,4000,30,5,122.15,273.98,2.243,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
250,4000,30,10,124.66,273.98,2.198,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
250,4000,30,20,123.65,273.98,2.216,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
250,8000,10,3,125.81,273.98,2.178,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
250,8000,10,5,164.58,273.98,1.665,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
250,8000,10,10,166.85,273.98,1.642,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
250,8000,10,20,166.63,273.98,1.644,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
250,8000,20,3,134.23,273.98,2.041,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
250,8000,20,5,172.47,273.98,1.589,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
250,8000,20,10,173.84,273.98,1.576,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
250,8000,20,20,173.54,273.98,1.579,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
250,8000,30,3,144.83,273.98,1.892,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
250,8000,30,5,171.89,273.98,1.594,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
250,8000,30,10,179.84,273.98,1.523,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
250,8000,30,20,181.25,273.98,1.512,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
500,500,10,3,69.83,273.98,3.923,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,500,10,5,72.46,273.98,3.781,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,500,10,10,74.01,273.98,3.702,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,500,10,20,74.60,273.98,3.673,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
500,500,20,3,86.10,273.98,3.182,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,500,20,5,87.95,273.98,3.115,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,500,20,10,88.21,273.98,3.106,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,500,20,20,87.99,273.98,3.114,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
500,500,30,3,101.13,273.98,2.709,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,500,30,5,102.97,273.98,2.661,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,500,30,10,103.47,273.98,2.648,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,500,30,20,103.09,273.98,2.658,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
500,1000,10,3,73.92,273.98,3.707,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
