coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
500,500,10,3,108.90,275.72,2.532,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,500,10,5,116.23,275.72,2.372,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,500,10,10,119.04,275.72,2.316,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,500,20,3,152.46,275.72,1.808,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,500,20,5,158.15,275.72,1.743,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,500,20,10,159.73,275.72,1.726,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,500,30,3,196.52,275.72,1.403,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,500,30,5,202.78,275.72,1.360,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,500,30,10,201.85,275.72,1.366,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,1000,10,3,123.00,275.72,2.242,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,1000,10,5,138.21,275.72,1.995,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,1000,10,10,142.09,275.72,1.941,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,1000,20,3,166.79,275.72,1.653,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,1000,20,5,176.38,275.72,1.563,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,1000,20,10,181.29,275.72,1.521,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,1000,30,3,211.22,275.72,1.305,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,1000,30,5,219.75,275.72,1.255,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,1000,30,10,220.58,275.72,1.250,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,2000,10,3,153.62,275.72,1.795,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,2000,10,5,186.55,275.72,1.478,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,2000,10,10,189.02,275.72,1.459,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,2000,20,3,197.40,275.72,1.397,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,2000,20,5,217.99,275.72,1.265,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,2000,20,10,230.13,275.72,1.198,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,2000,30,3,241.66,275.72,1.141,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,2000,30,5,259.70,275.72,1.062,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,2000,30,10,260.14,275.72,1.060,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,4000,10,3,219.40,275.72,1.257,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,4000,10,5,283.90,275.72,0.971,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,4000,10,10,285.82,275.72,0.965,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,4000,20,3,260.23,275.72,1.060,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,4000,20,5,312.99,275.72,0.881,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,4000,20,10,325.65,275.72,0.847,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,4000,30,3,305.00,275.72,0.904,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,4000,30,5,338.73,275.72,0.814,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,4000,30,10,343.08,275.72,0.804,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,8000,10,3,346.95,275.72,0.795,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,8000,10,5,475.50,275.72,0.580,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,8000,10,10,481.32,275.72,0.573,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,8000,20,3,390.87,275.72,0.705,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,8000,20,5,507.64,275.72,0.543,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,8000,20,10,519.10,275.72,0.531,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,8000,30,3,432.30,275.72,0.638,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,8000,30,5,502.37,275.72,0.549,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,8000,30,10,546.94,275.72,0.504,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,500,10,3,155.65,275.72,1.771,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,500,10,5,163.29,275.72,1.689,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,500,10,10,165.88,275.72,1.662,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,500,20,3,238.98,275.72,1.154,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,500,20,5,244.89,275.72,1.126,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,500,20,10,243.89,275.72,1.131,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,500,30,3,322.00,275.72,0.856,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,500,30,5,327.18,275.72,0.843,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,500,30,10,327.65,275.72,0.841,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,1000,10,3,169.67,275.72,1.625,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,1000,10,5,185.01,275.72,1.490,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,1000,10,10,186.53,275.72,1.478,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,1000,20,3,252.32,275.72,1.093,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,1000,20,5,262.70,275.72,1.050,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,1000,20,10,268.08,275.72,1.028,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,1000,30,3,336.46,275.72,0.819,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,1000,30,5,345.74,275.72,0.797,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,1000,30,10,345.82,275.72,0.797,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,2000,10,3,200.42,275.72,1.376,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,2000,10,5,232.67,275.72,1.185,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,2000,10,10,237.43,275.72,1.161,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,2000,20,3,283.67,275.72,0.972,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,2000,20,5,302.92,275.72,0.910,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,2000,20,10,315.83,275.72,0.873,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,2000,30,3,368.35,275.72,0.749,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,2000,30,5,386.81,275.72,0.713,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,2000,30,10,386.16,275.72,0.714,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,4000,10,3,263.42,275.72,1.047,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,4000,10,5,327.63,275.72,0.842,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,4000,10,10,330.42,275.72,0.834,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,4000,20,3,346.78,275.72,0.795,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,4000,20,5,387.44,275.72,0.712,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,4000,20,10,411.08,275.72,0.671,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,4000,30,3,430.63,275.72,0.640,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,4000,30,5,464.07,275.72,0.594,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,4000,30,10,465.80,275.72,0.592,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,8000,10,3,388.15,275.72,0.710,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,8000,10,5,517.01,275.72,0.533,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,8000,10,10,520.68,275.72,0.530,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,8000,20,3,472.34,275.72,0.584,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,8000,20,5,577.28,275.72,0.478,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,8000,20,10,600.98,275.72,0.459,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
