host=pax010 gpu=NVIDIA H200
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True EXTRACT N=1024 K=16 R=512 ckpt=/cluster/tufts/paralab/tawal01/burgacc/ext1024/in/sep_burgers_r3_N1024_K16_R512.pkl
  pick reproduced: 16384 states, matches checkpoint codes
  bank rank(>1e-8) 512/512  cond(G) 1.741e+04
   gen+proj: trajectories 8/576  worst FOM rel residual 9.52e-13  [20s]
   gen+proj: trajectories 16/576  worst FOM rel residual 9.80e-13  [35s]
   gen+proj: trajectories 24/576  worst FOM rel residual 9.81e-13  [55s]
   gen+proj: trajectories 32/576  worst FOM rel residual 9.81e-13  [72s]
   gen+proj: trajectories 40/576  worst FOM rel residual 9.98e-13  [94s]
   gen+proj: trajectories 48/576  worst FOM rel residual 9.98e-13  [112s]
   gen+proj: trajectories 56/576  worst FOM rel residual 9.98e-13  [128s]
   gen+proj: trajectories 64/576  worst FOM rel residual 9.98e-13  [146s]
   gen+proj: trajectories 72/576  worst FOM rel residual 9.98e-13  [160s]
   gen+proj: trajectories 80/576  worst FOM rel residual 9.98e-13  [171s]
   gen+proj: trajectories 88/576  worst FOM rel residual 9.98e-13  [190s]
   gen+proj: trajectories 96/576  worst FOM rel residual 9.98e-13  [207s]
   gen+proj: trajectories 104/576  worst FOM rel residual 9.98e-13  [226s]
   gen+proj: trajectories 112/576  worst FOM rel residual 9.98e-13  [242s]
   gen+proj: trajectories 120/576  worst FOM rel residual 9.98e-13  [258s]
   gen+proj: trajectories 128/576  worst FOM rel residual 9.98e-13  [279s]
   gen+proj: trajectories 136/576  worst FOM rel residual 9.98e-13  [291s]
   gen+proj: trajectories 144/576  worst FOM rel residual 9.98e-13  [305s]
   gen+proj: trajectories 152/576  worst FOM rel residual 9.98e-13  [327s]
   gen+proj: trajectories 160/576  worst FOM rel residual 9.98e-13  [340s]
   gen+proj: trajectories 168/576  worst FOM rel residual 1.00e-12  [353s]
   gen+proj: trajectories 176/576  worst FOM rel residual 1.00e-12  [363s]
   gen+proj: trajectories 184/576  worst FOM rel residual 1.00e-12  [383s]
   gen+proj: trajectories 192/576  worst FOM rel residual 1.00e-12  [397s]
   gen+proj: trajectories 200/576  worst FOM rel residual 1.00e-12  [409s]
   gen+proj: trajectories 208/576  worst FOM rel residual 1.00e-12  [431s]
   gen+proj: trajectories 216/576  worst FOM rel residual 1.00e-12  [446s]
   gen+proj: trajectories 224/576  worst FOM rel residual 1.00e-12  [461s]
   gen+proj: trajectories 232/576  worst FOM rel residual 1.00e-12  [474s]
   gen+proj: trajectories 240/576  worst FOM rel residual 1.00e-12  [488s]
   gen+proj: trajectories 248/576  worst FOM rel residual 1.00e-12  [502s]
   gen+proj: trajectories 256/576  worst FOM rel residual 1.00e-12  [519s]
   gen+proj: trajectories 264/576  worst FOM rel residual 1.00e-12  [536s]
   gen+proj: trajectories 272/576  worst FOM rel residual 1.00e-12  [549s]
   gen+proj: trajectories 280/576  worst FOM rel residual 1.00e-12  [570s]
   gen+proj: trajectories 288/576  worst FOM rel residual 1.00e-12  [587s]
   gen+proj: trajectories 296/576  worst FOM rel residual 1.00e-12  [604s]
   gen+proj: trajectories 304/576  worst FOM rel residual 1.00e-12  [621s]
   gen+proj: trajectories 312/576  worst FOM rel residual 1.00e-12  [632s]
   gen+proj: trajectories 320/576  worst FOM rel residual 1.00e-12  [645s]
   gen+proj: trajectories 328/576  worst FOM rel residual 1.00e-12  [662s]
   gen+proj: trajectories 336/576  worst FOM rel residual 1.00e-12  [673s]
   gen+proj: trajectories 344/576  worst FOM rel residual 1.00e-12  [689s]
   gen+proj: trajectories 352/576  worst FOM rel residual 1.00e-12  [707s]
   gen+proj: trajectories 360/576  worst FOM rel residual 1.00e-12  [720s]
   gen+proj: trajectories 368/576  worst FOM rel residual 1.00e-12  [735s]
   gen+proj: trajectories 376/576  worst FOM rel residual 1.00e-12  [745s]
   gen+proj: trajectories 384/576  worst FOM rel residual 1.00e-12  [762s]
   gen+proj: trajectories 392/576  worst FOM rel residual 1.00e-12  [777s]
   gen+proj: trajectories 400/576  worst FOM rel residual 1.00e-12  [793s]
   gen+proj: trajectories 408/576  worst FOM rel residual 1.00e-12  [806s]
   gen+proj: trajectories 416/576  worst FOM rel residual 1.00e-12  [817s]
   gen+proj: trajectories 424/576  worst FOM rel residual 1.00e-12  [831s]
   gen+proj: trajectories 432/576  worst FOM rel residual 1.00e-12  [848s]
   gen+proj: trajectories 440/576  worst FOM rel residual 1.00e-12  [866s]
   gen+proj: trajectories 448/576  worst FOM rel residual 1.00e-12  [880s]
   gen+proj: trajectories 456/576  worst FOM rel residual 1.00e-12  [899s]
   gen+proj: trajectories 464/576  worst FOM rel residual 1.00e-12  [921s]
   gen+proj: trajectories 472/576  worst FOM rel residual 1.00e-12  [931s]
   gen+proj: trajectories 480/576  worst FOM rel residual 1.00e-12  [953s]
   gen+proj: trajectories 488/576  worst FOM rel residual 1.00e-12  [970s]
   gen+proj: trajectories 496/576  worst FOM rel residual 1.00e-12  [985s]
   gen+proj: trajectories 504/576  worst FOM rel residual 1.00e-12  [999s]
   gen+proj: trajectories 512/576  worst FOM rel residual 1.00e-12  [1010s]
   gen+proj: trajectories 520/576  worst FOM rel residual 1.00e-12  [1027s]
   gen+proj: trajectories 528/576  worst FOM rel residual 1.00e-12  [1037s]
   gen+proj: trajectories 536/576  worst FOM rel residual 1.00e-12  [1053s]
   gen+proj: trajectories 544/576  worst FOM rel residual 1.00e-12  [1066s]
   gen+proj: trajectories 552/576  worst FOM rel residual 1.00e-12  [1079s]
   gen+proj: trajectories 560/576  worst FOM rel residual 1.00e-12  [1095s]
   gen+proj: trajectories 568/576  worst FOM rel residual 1.00e-12  [1113s]
   gen+proj: trajectories 576/576  worst FOM rel residual 1.00e-12  [1128s]
  GRAM IDENTITY gate on 64 training states: max rel deviation 8.115e-11 mean 6.515e-12  (full mean 7.692609e-03 vs gram mean 7.692609e-03)
  span-floor direct-vs-Gram deviation on 64 rows: 3.540e-16  (direct mean 5.806716e-04)
  checkpoint recon via (*): mean 7.307894e-03  (train span LS floor mean 4.990e-04)
  fresh test span LS floor: mean 2.601e-04 max 4.498e-03  (test FOM residual 9.97e-13)
EXTRACT done in 1173s -> /cluster/tufts/paralab/tawal01/burgacc/ext1024/out/sep_coeff_N1024_K16_R512.npz
ALL-DONE
