host=pax008 gpu=NVIDIA H200
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True EXTRACT N=1024 K=32 R=512 ckpt=/cluster/tufts/paralab/tawal01/burgacc/ext1024b/in/sep_burgers_r4_N1024_K32_R512_h512x3.pkl
  pick reproduced: 16384 states, matches checkpoint codes
  bank rank(>1e-8) 512/512  cond(G) 1.871e+04
   gen+proj: trajectories 8/576  worst FOM rel residual 9.52e-13  [20s]
   gen+proj: trajectories 16/576  worst FOM rel residual 9.80e-13  [35s]
   gen+proj: trajectories 24/576  worst FOM rel residual 9.81e-13  [55s]
   gen+proj: trajectories 32/576  worst FOM rel residual 9.81e-13  [72s]
   gen+proj: trajectories 40/576  worst FOM rel residual 9.98e-13  [95s]
   gen+proj: trajectories 48/576  worst FOM rel residual 9.98e-13  [112s]
   gen+proj: trajectories 56/576  worst FOM rel residual 9.98e-13  [128s]
   gen+proj: trajectories 64/576  worst FOM rel residual 9.98e-13  [146s]
   gen+proj: trajectories 72/576  worst FOM rel residual 9.98e-13  [159s]
   gen+proj: trajectories 80/576  worst FOM rel residual 9.98e-13  [171s]
   gen+proj: trajectories 88/576  worst FOM rel residual 9.98e-13  [190s]
   gen+proj: trajectories 96/576  worst FOM rel residual 9.98e-13  [207s]
   gen+proj: trajectories 104/576  worst FOM rel residual 9.98e-13  [225s]
   gen+proj: trajectories 112/576  worst FOM rel residual 9.98e-13  [242s]
   gen+proj: trajectories 120/576  worst FOM rel residual 9.98e-13  [257s]
   gen+proj: trajectories 128/576  worst FOM rel residual 9.98e-13  [278s]
   gen+proj: trajectories 136/576  worst FOM rel residual 9.98e-13  [290s]
   gen+proj: trajectories 144/576  worst FOM rel residual 9.98e-13  [304s]
   gen+proj: trajectories 152/576  worst FOM rel residual 9.98e-13  [326s]
   gen+proj: trajectories 160/576  worst FOM rel residual 9.98e-13  [339s]
   gen+proj: trajectories 168/576  worst FOM rel residual 1.00e-12  [352s]
   gen+proj: trajectories 176/576  worst FOM rel residual 1.00e-12  [362s]
   gen+proj: trajectories 184/576  worst FOM rel residual 1.00e-12  [382s]
   gen+proj: trajectories 192/576  worst FOM rel residual 1.00e-12  [396s]
   gen+proj: trajectories 200/576  worst FOM rel residual 1.00e-12  [408s]
   gen+proj: trajectories 208/576  worst FOM rel residual 1.00e-12  [430s]
   gen+proj: trajectories 216/576  worst FOM rel residual 1.00e-12  [445s]
   gen+proj: trajectories 224/576  worst FOM rel residual 1.00e-12  [460s]
   gen+proj: trajectories 232/576  worst FOM rel residual 1.00e-12  [472s]
   gen+proj: trajectories 240/576  worst FOM rel residual 1.00e-12  [487s]
   gen+proj: trajectories 248/576  worst FOM rel residual 1.00e-12  [501s]
   gen+proj: trajectories 256/576  worst FOM rel residual 1.00e-12  [518s]
   gen+proj: trajectories 264/576  worst FOM rel residual 1.00e-12  [534s]
   gen+proj: trajectories 272/576  worst FOM rel residual 1.00e-12  [547s]
   gen+proj: trajectories 280/576  worst FOM rel residual 1.00e-12  [568s]
   gen+proj: trajectories 288/576  worst FOM rel residual 1.00e-12  [585s]
   gen+proj: trajectories 296/576  worst FOM rel residual 1.00e-12  [602s]
   gen+proj: trajectories 304/576  worst FOM rel residual 1.00e-12  [619s]
   gen+proj: trajectories 312/576  worst FOM rel residual 1.00e-12  [630s]
   gen+proj: trajectories 320/576  worst FOM rel residual 1.00e-12  [643s]
   gen+proj: trajectories 328/576  worst FOM rel residual 1.00e-12  [661s]
   gen+proj: trajectories 336/576  worst FOM rel residual 1.00e-12  [672s]
   gen+proj: trajectories 344/576  worst FOM rel residual 1.00e-12  [687s]
   gen+proj: trajectories 352/576  worst FOM rel residual 1.00e-12  [705s]
   gen+proj: trajectories 360/576  worst FOM rel residual 1.00e-12  [719s]
   gen+proj: trajectories 368/576  worst FOM rel residual 1.00e-12  [733s]
   gen+proj: trajectories 376/576  worst FOM rel residual 1.00e-12  [743s]
   gen+proj: trajectories 384/576  worst FOM rel residual 1.00e-12  [760s]
   gen+proj: trajectories 392/576  worst FOM rel residual 1.00e-12  [775s]
   gen+proj: trajectories 400/576  worst FOM rel residual 1.00e-12  [791s]
   gen+proj: trajectories 408/576  worst FOM rel residual 1.00e-12  [804s]
   gen+proj: trajectories 416/576  worst FOM rel residual 1.00e-12  [815s]
   gen+proj: trajectories 424/576  worst FOM rel residual 1.00e-12  [829s]
   gen+proj: trajectories 432/576  worst FOM rel residual 1.00e-12  [846s]
   gen+proj: trajectories 440/576  worst FOM rel residual 1.00e-12  [863s]
   gen+proj: trajectories 448/576  worst FOM rel residual 1.00e-12  [878s]
   gen+proj: trajectories 456/576  worst FOM rel residual 1.00e-12  [897s]
   gen+proj: trajectories 464/576  worst FOM rel residual 1.00e-12  [918s]
   gen+proj: trajectories 472/576  worst FOM rel residual 1.00e-12  [929s]
   gen+proj: trajectories 480/576  worst FOM rel residual 1.00e-12  [951s]
   gen+proj: trajectories 488/576  worst FOM rel residual 1.00e-12  [967s]
   gen+proj: trajectories 496/576  worst FOM rel residual 1.00e-12  [983s]
   gen+proj: trajectories 504/576  worst FOM rel residual 1.00e-12  [997s]
   gen+proj: trajectories 512/576  worst FOM rel residual 1.00e-12  [1008s]
   gen+proj: trajectories 520/576  worst FOM rel residual 1.00e-12  [1024s]
   gen+proj: trajectories 528/576  worst FOM rel residual 1.00e-12  [1034s]
   gen+proj: trajectories 536/576  worst FOM rel residual 1.00e-12  [1050s]
   gen+proj: trajectories 544/576  worst FOM rel residual 1.00e-12  [1063s]
   gen+proj: trajectories 552/576  worst FOM rel residual 1.00e-12  [1076s]
   gen+proj: trajectories 560/576  worst FOM rel residual 1.00e-12  [1092s]
   gen+proj: trajectories 568/576  worst FOM rel residual 1.00e-12  [1109s]
   gen+proj: trajectories 576/576  worst FOM rel residual 1.00e-12  [1125s]
  GRAM IDENTITY gate on 64 training states: max rel deviation 2.456e-10 mean 4.650e-11  (full mean 1.779037e-03 vs gram mean 1.779037e-03)
  span-floor direct-vs-Gram deviation on 64 rows: 2.295e-16  (direct mean 3.454579e-04)
  checkpoint recon via (*): mean 1.792351e-03  (train span LS floor mean 3.200e-04)
  fresh test span LS floor: mean 1.731e-04 max 2.839e-03  (test FOM residual 9.97e-13)
EXTRACT done in 1169s -> /cluster/tufts/paralab/tawal01/burgacc/ext1024b/out/sep_coeff_N1024_K32_R512.npz
ALL-DONE
