host=pax008 gpu=NVIDIA H200
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['wide', 'deep', 'huge', 'glob', 'wd'] steps=120000
  whitening round-trip 6.759e-15   q == L^T h deviation 9.358e-16
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[wide]       1/120000 loss 1.0168e+00 recon 1.0077e+00 [5s]
   hfit[wide]    5000/120000 loss 1.9775e-03 recon 4.1156e-02 [14s]
   hfit[wide]   10000/120000 loss 9.9689e-04 recon 2.8802e-02 [23s]
   hfit[wide]   15000/120000 loss 4.6032e-04 recon 1.9914e-02 [32s]
   hfit[wide]   20000/120000 loss 2.4504e-04 recon 1.4391e-02 [41s]
   hfit[wide]   25000/120000 loss 1.9616e-04 recon 1.2869e-02 [51s]
   hfit[wide]   30000/120000 loss 1.5006e-04 recon 1.1130e-02 [60s]
   hfit[wide]   35000/120000 loss 1.0195e-04 recon 9.9071e-03 [69s]
   hfit[wide]   40000/120000 loss 9.8141e-05 recon 8.7109e-03 [78s]
   hfit[wide]   45000/120000 loss 9.4096e-05 recon 8.9646e-03 [87s]
   hfit[wide]   50000/120000 loss 5.6703e-05 recon 7.0136e-03 [96s]
   hfit[wide]   55000/120000 loss 7.0102e-05 recon 7.6493e-03 [106s]
   hfit[wide]   60000/120000 loss 4.5012e-05 recon 6.4161e-03 [115s]
   hfit[wide]   65000/120000 loss 3.1399e-05 recon 5.1715e-03 [124s]
   hfit[wide]   70000/120000 loss 2.2837e-05 recon 4.5625e-03 [133s]
   hfit[wide]   75000/120000 loss 1.5286e-05 recon 3.7875e-03 [142s]
   hfit[wide]   80000/120000 loss 9.6834e-06 recon 3.1376e-03 [151s]
   hfit[wide]   85000/120000 loss 1.2919e-05 recon 3.4459e-03 [161s]
   hfit[wide]   90000/120000 loss 8.2512e-06 recon 2.8514e-03 [170s]
   hfit[wide]   95000/120000 loss 7.4423e-06 recon 2.7597e-03 [179s]
   hfit[wide]  100000/120000 loss 5.7925e-06 recon 2.4267e-03 [188s]
   hfit[wide]  105000/120000 loss 5.1999e-06 recon 2.3104e-03 [198s]
   hfit[wide]  110000/120000 loss 4.8748e-06 recon 2.2398e-03 [207s]
   hfit[wide]  115000/120000 loss 4.6811e-06 recon 2.1930e-03 [216s]
   hfit[wide]  120000/120000 loss 4.5642e-06 recon 2.1662e-03 [225s]
  ARM wide: recon 2.1662e-03  oracle 6.3358e-03  oracle/floor 29.8x  oracle_nn 6.3234e-03  code-refit gain 1.081x
   hfit[deep]       1/120000 loss 1.0152e+00 recon 1.0069e+00 [3s]
   hfit[deep]    5000/120000 loss 1.7381e-03 recon 3.7485e-02 [10s]
   hfit[deep]   10000/120000 loss 7.5005e-04 recon 2.6159e-02 [17s]
   hfit[deep]   15000/120000 loss 5.8132e-04 recon 2.1445e-02 [24s]
   hfit[deep]   20000/120000 loss 2.4449e-04 recon 1.4547e-02 [31s]
   hfit[deep]   25000/120000 loss 2.0460e-04 recon 1.3336e-02 [39s]
   hfit[deep]   30000/120000 loss 1.7582e-04 recon 1.1935e-02 [46s]
   hfit[deep]   35000/120000 loss 2.1109e-04 recon 1.3058e-02 [53s]
   hfit[deep]   40000/120000 loss 9.0378e-05 recon 8.9768e-03 [60s]
   hfit[deep]   45000/120000 loss 1.3677e-04 recon 1.0320e-02 [67s]
   hfit[deep]   50000/120000 loss 7.6312e-05 recon 7.9324e-03 [74s]
   hfit[deep]   55000/120000 loss 7.0975e-05 recon 7.3730e-03 [81s]
   hfit[deep]   60000/120000 loss 4.2035e-05 recon 6.0855e-03 [88s]
   hfit[deep]   65000/120000 loss 2.5494e-05 recon 4.6828e-03 [95s]
   hfit[deep]   70000/120000 loss 2.6104e-05 recon 4.7424e-03 [102s]
   hfit[deep]   75000/120000 loss 2.0593e-05 recon 4.2695e-03 [109s]
   hfit[deep]   80000/120000 loss 1.9209e-05 recon 4.1597e-03 [116s]
   hfit[deep]   85000/120000 loss 1.4466e-05 recon 3.6454e-03 [123s]
   hfit[deep]   90000/120000 loss 1.1246e-05 recon 3.2483e-03 [130s]
   hfit[deep]   95000/120000 loss 1.0410e-05 recon 3.1229e-03 [137s]
   hfit[deep]  100000/120000 loss 8.5531e-06 recon 2.8168e-03 [144s]
   hfit[deep]  105000/120000 loss 7.8194e-06 recon 2.6869e-03 [151s]
   hfit[deep]  110000/120000 loss 7.2153e-06 recon 2.5780e-03 [158s]
   hfit[deep]  115000/120000 loss 6.9626e-06 recon 2.5330e-03 [165s]
   hfit[deep]  120000/120000 loss 6.7465e-06 recon 2.5040e-03 [172s]
  ARM deep: recon 2.5040e-03  oracle 7.1551e-03  oracle/floor 33.7x  oracle_nn 7.1086e-03  code-refit gain 1.068x
   hfit[huge]       1/120000 loss 1.0166e+00 recon 1.0076e+00 [4s]
   hfit[huge]    5000/120000 loss 8.8186e-04 recon 2.7172e-02 [43s]
   hfit[huge]   10000/120000 loss 4.8423e-04 recon 2.0529e-02 [81s]
   hfit[huge]   15000/120000 loss 2.7246e-04 recon 1.4864e-02 [120s]
   hfit[huge]   20000/120000 loss 1.0408e-02 recon 7.5974e-02 [158s]
   hfit[huge]   25000/120000 loss 5.1255e-03 recon 5.4686e-02 [197s]
   hfit[huge]   30000/120000 loss 1.7715e-03 recon 3.5873e-02 [236s]
   hfit[huge]   35000/120000 loss 3.8631e-04 recon 1.7753e-02 [274s]
   hfit[huge]   40000/120000 loss 2.0518e-04 recon 1.1202e-02 [313s]
   hfit[huge]   45000/120000 loss 1.2597e-04 recon 9.8376e-03 [351s]
   hfit[huge]   50000/120000 loss 7.7221e-05 recon 7.7793e-03 [390s]
   hfit[huge]   55000/120000 loss 5.8534e-05 recon 5.7708e-03 [428s]
   hfit[huge]   60000/120000 loss 5.9110e-05 recon 6.9763e-03 [467s]
   hfit[huge]   65000/120000 loss 6.1963e-05 recon 5.3908e-03 [506s]
   hfit[huge]   70000/120000 loss 1.7130e-05 recon 3.5747e-03 [544s]
   hfit[huge]   75000/120000 loss 1.7995e-05 recon 3.2231e-03 [583s]
   hfit[huge]   80000/120000 loss 1.6009e-05 recon 2.8976e-03 [621s]
   hfit[huge]   85000/120000 loss 8.3565e-06 recon 2.6806e-03 [660s]
   hfit[huge]   90000/120000 loss 1.1434e-05 recon 2.0151e-03 [699s]
   hfit[huge]   95000/120000 loss 8.7094e-06 recon 1.7887e-03 [737s]
   hfit[huge]  100000/120000 loss 4.4140e-06 recon 1.5529e-03 [776s]
   hfit[huge]  105000/120000 loss 4.1435e-06 recon 1.5109e-03 [814s]
   hfit[huge]  110000/120000 loss 3.5306e-06 recon 1.4317e-03 [853s]
   hfit[huge]  115000/120000 loss 5.4751e-06 recon 1.4009e-03 [891s]
   hfit[huge]  120000/120000 loss 5.1934e-06 recon 1.3881e-03 [930s]
  ARM huge: recon 1.3881e-03  oracle 1.3816e-02  oracle/floor 65.1x  oracle_nn 1.3442e-02  code-refit gain 1.007x
   hfit[glob]       1/120000 loss 9.9563e-01 recon 1.0077e+00 [1s]
   hfit[glob]    5000/120000 loss 1.1254e-03 recon 4.3558e-02 [10s]
   hfit[glob]   10000/120000 loss 4.8566e-04 recon 2.8380e-02 [19s]
   hfit[glob]   15000/120000 loss 4.0995e-04 recon 2.4229e-02 [28s]
   hfit[glob]   20000/120000 loss 1.7457e-04 recon 1.7026e-02 [38s]
   hfit[glob]   25000/120000 loss 1.5433e-04 recon 1.5351e-02 [47s]
   hfit[glob]   30000/120000 loss 1.0364e-04 recon 1.2677e-02 [56s]
   hfit[glob]   35000/120000 loss 9.6096e-05 recon 1.2655e-02 [65s]
   hfit[glob]   40000/120000 loss 6.2422e-05 recon 1.0012e-02 [74s]
   hfit[glob]   45000/120000 loss 4.1423e-05 recon 8.4756e-03 [84s]
   hfit[glob]   50000/120000 loss 3.3630e-05 recon 7.7153e-03 [93s]
   hfit[glob]   55000/120000 loss 3.9297e-05 recon 7.9830e-03 [102s]
   hfit[glob]   60000/120000 loss 2.3152e-05 recon 6.4475e-03 [111s]
   hfit[glob]   65000/120000 loss 2.2070e-05 recon 6.2081e-03 [120s]
   hfit[glob]   70000/120000 loss 1.3247e-05 recon 5.1078e-03 [130s]
   hfit[glob]   75000/120000 loss 1.0264e-05 recon 4.4040e-03 [139s]
   hfit[glob]   80000/120000 loss 9.5707e-06 recon 4.2742e-03 [148s]
   hfit[glob]   85000/120000 loss 7.3996e-06 recon 3.9187e-03 [157s]
   hfit[glob]   90000/120000 loss 5.2898e-06 recon 3.3529e-03 [167s]
   hfit[glob]   95000/120000 loss 4.3709e-06 recon 3.0846e-03 [176s]
