host=pax007 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k8', 'k24', 'k32', 'early', 'zpolish'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k8]       1/120000 loss 1.0100e+00 recon 1.0045e+00 [5s]
   hfit[k8]    5000/120000 loss 2.1784e-03 recon 4.2042e-02 [31s]
   hfit[k8]   10000/120000 loss 1.0316e-03 recon 2.9712e-02 [58s]
   hfit[k8]   15000/120000 loss 5.5190e-04 recon 2.2204e-02 [85s]
   hfit[k8]   20000/120000 loss 4.2514e-04 recon 1.9410e-02 [112s]
   hfit[k8]   25000/120000 loss 3.1978e-04 recon 1.6830e-02 [139s]
   hfit[k8]   30000/120000 loss 2.9396e-04 recon 1.5376e-02 [165s]
   hfit[k8]   35000/120000 loss 1.9797e-04 recon 1.3282e-02 [192s]
   hfit[k8]   40000/120000 loss 1.5300e-04 recon 1.1696e-02 [219s]
   hfit[k8]   45000/120000 loss 1.4699e-04 recon 1.1606e-02 [246s]
   hfit[k8]   50000/120000 loss 1.2068e-04 recon 1.0430e-02 [273s]
   hfit[k8]   55000/120000 loss 8.0564e-05 recon 8.4674e-03 [300s]
   hfit[k8]   60000/120000 loss 7.1892e-05 recon 8.1770e-03 [327s]
   hfit[k8]   65000/120000 loss 5.3868e-05 recon 6.9876e-03 [354s]
   hfit[k8]   70000/120000 loss 5.3805e-05 recon 6.9891e-03 [381s]
   hfit[k8]   75000/120000 loss 4.5509e-05 recon 6.5466e-03 [408s]
   hfit[k8]   80000/120000 loss 3.6236e-05 recon 5.8102e-03 [435s]
   hfit[k8]   85000/120000 loss 3.0369e-05 recon 5.3837e-03 [462s]
   hfit[k8]   90000/120000 loss 2.5510e-05 recon 4.9146e-03 [488s]
   hfit[k8]   95000/120000 loss 2.2901e-05 recon 4.6787e-03 [515s]
   hfit[k8]  100000/120000 loss 2.0600e-05 recon 4.4461e-03 [542s]
   hfit[k8]  105000/120000 loss 1.9441e-05 recon 4.2784e-03 [569s]
   hfit[k8]  110000/120000 loss 1.8537e-05 recon 4.1838e-03 [596s]
