host=pax049 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k48', 'k64', 'znoise', 'znoise05'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k48]       1/120000 loss 1.0426e+00 recon 1.0204e+00 [6s]
   hfit[k48]    5000/120000 loss 9.3688e-04 recon 2.8431e-02 [33s]
   hfit[k48]   10000/120000 loss 3.5863e-04 recon 1.7381e-02 [60s]
   hfit[k48]   15000/120000 loss 2.1918e-04 recon 1.3583e-02 [88s]
   hfit[k48]   20000/120000 loss 2.0962e-04 recon 1.1803e-02 [116s]
   hfit[k48]   25000/120000 loss 1.1764e-04 recon 9.8767e-03 [143s]
   hfit[k48]   30000/120000 loss 1.0232e-04 recon 8.7943e-03 [171s]
   hfit[k48]   35000/120000 loss 7.6154e-05 recon 7.7952e-03 [198s]
   hfit[k48]   40000/120000 loss 7.9793e-05 recon 7.3912e-03 [226s]
   hfit[k48]   45000/120000 loss 8.0348e-05 recon 8.0091e-03 [254s]
   hfit[k48]   50000/120000 loss 5.0333e-05 recon 6.2264e-03 [282s]
   hfit[k48]   55000/120000 loss 2.4781e-05 recon 4.5694e-03 [309s]
   hfit[k48]   60000/120000 loss 2.4220e-05 recon 4.9671e-03 [337s]
   hfit[k48]   65000/120000 loss 9.8292e-06 recon 3.0016e-03 [365s]
   hfit[k48]   70000/120000 loss 1.2726e-05 recon 3.4211e-03 [392s]
   hfit[k48]   75000/120000 loss 9.6699e-06 recon 2.9063e-03 [420s]
   hfit[k48]   80000/120000 loss 6.3366e-06 recon 2.4862e-03 [448s]
   hfit[k48]   85000/120000 loss 4.4078e-06 recon 2.1034e-03 [476s]
   hfit[k48]   90000/120000 loss 3.5615e-06 recon 1.9859e-03 [503s]
   hfit[k48]   95000/120000 loss 2.1548e-06 recon 1.5606e-03 [531s]
   hfit[k48]  100000/120000 loss 1.7854e-06 recon 1.4608e-03 [559s]
   hfit[k48]  105000/120000 loss 1.5681e-06 recon 1.3775e-03 [586s]
   hfit[k48]  110000/120000 loss 1.4606e-06 recon 1.3457e-03 [614s]
   hfit[k48]  115000/120000 loss 1.4177e-06 recon 1.3222e-03 [642s]
   hfit[k48]  120000/120000 loss 1.3804e-06 recon 1.3105e-03 [670s]
  ARM k48: recon 1.3105e-03  oracle 3.9576e-03  oracle/floor 18.6x  oracle_nn 3.9565e-03  code-refit gain 1.208x
   hfit[k64]       1/120000 loss 1.0570e+00 recon 1.0266e+00 [5s]
   hfit[k64]    5000/120000 loss 1.0304e-03 recon 2.8891e-02 [32s]
   hfit[k64]   10000/120000 loss 3.2892e-04 recon 1.6733e-02 [60s]
   hfit[k64]   15000/120000 loss 1.8914e-04 recon 1.2753e-02 [87s]
   hfit[k64]   20000/120000 loss 2.0359e-04 recon 1.1483e-02 [115s]
   hfit[k64]   25000/120000 loss 1.5409e-04 recon 1.0658e-02 [143s]
