host=pax063 gpu=NVIDIA H100 PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k32_znoise', 'k32_zn05', 'k48_znoise'] steps=120000
  whitening round-trip 6.759e-15   q == L^T h deviation 9.358e-16
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k32_znoise]       1/120000 loss 1.0298e+00 recon 1.0142e+00 [5s]
   hfit[k32_znoise]    5000/120000 loss 1.5327e-03 recon 3.2931e-02 [20s]
   hfit[k32_znoise]   10000/120000 loss 7.6836e-04 recon 2.3017e-02 [35s]
   hfit[k32_znoise]   15000/120000 loss 5.0139e-04 recon 1.7300e-02 [49s]
   hfit[k32_znoise]   20000/120000 loss 4.0911e-04 recon 1.5629e-02 [65s]
   hfit[k32_znoise]   25000/120000 loss 3.1496e-04 recon 1.3227e-02 [80s]
   hfit[k32_znoise]   30000/120000 loss 2.6845e-04 recon 1.1966e-02 [95s]
   hfit[k32_znoise]   35000/120000 loss 2.4155e-04 recon 1.1323e-02 [110s]
   hfit[k32_znoise]   40000/120000 loss 2.0566e-04 recon 9.8184e-03 [125s]
   hfit[k32_znoise]   45000/120000 loss 1.9774e-04 recon 9.6017e-03 [140s]
   hfit[k32_znoise]   50000/120000 loss 1.5639e-04 recon 8.1426e-03 [156s]
   hfit[k32_znoise]   55000/120000 loss 1.4122e-04 recon 7.2520e-03 [171s]
   hfit[k32_znoise]   60000/120000 loss 1.2673e-04 recon 7.1191e-03 [186s]
   hfit[k32_znoise]   65000/120000 loss 1.1127e-04 recon 6.0225e-03 [201s]
   hfit[k32_znoise]   70000/120000 loss 1.0581e-04 recon 5.6818e-03 [216s]
   hfit[k32_znoise]   75000/120000 loss 9.6735e-05 recon 5.2213e-03 [232s]
   hfit[k32_znoise]   80000/120000 loss 8.7731e-05 recon 4.5734e-03 [247s]
   hfit[k32_znoise]   85000/120000 loss 8.5387e-05 recon 4.2700e-03 [262s]
   hfit[k32_znoise]   90000/120000 loss 7.9761e-05 recon 3.8141e-03 [278s]
   hfit[k32_znoise]   95000/120000 loss 7.3531e-05 recon 3.4273e-03 [293s]
   hfit[k32_znoise]  100000/120000 loss 7.2251e-05 recon 3.1169e-03 [308s]
   hfit[k32_znoise]  105000/120000 loss 6.8568e-05 recon 2.7453e-03 [324s]
   hfit[k32_znoise]  110000/120000 loss 6.6844e-05 recon 2.4550e-03 [339s]
   hfit[k32_znoise]  115000/120000 loss 6.5299e-05 recon 2.2783e-03 [354s]
   hfit[k32_znoise]  120000/120000 loss 6.6706e-05 recon 2.2212e-03 [370s]
  ARM k32_znoise: recon 2.2212e-03  oracle 6.6618e-03  oracle/floor 31.4x  oracle_nn 6.6618e-03  code-refit gain 1.277x
   hfit[k32_zn05]       1/120000 loss 1.0298e+00 recon 1.0142e+00 [1s]
   hfit[k32_zn05]    5000/120000 loss 2.6477e-03 recon 3.6387e-02 [16s]
   hfit[k32_zn05]   10000/120000 loss 1.4468e-03 recon 2.4569e-02 [32s]
   hfit[k32_zn05]   15000/120000 loss 9.8317e-04 recon 1.9413e-02 [47s]
   hfit[k32_zn05]   20000/120000 loss 7.7044e-04 recon 1.6038e-02 [63s]
   hfit[k32_zn05]   25000/120000 loss 6.2921e-04 recon 1.4320e-02 [78s]
   hfit[k32_zn05]   30000/120000 loss 4.8953e-04 recon 1.2478e-02 [94s]
   hfit[k32_zn05]   35000/120000 loss 3.7462e-04 recon 1.1629e-02 [109s]
   hfit[k32_zn05]   40000/120000 loss 3.2565e-04 recon 9.9385e-03 [125s]
   hfit[k32_zn05]   45000/120000 loss 2.7742e-04 recon 9.5096e-03 [140s]
   hfit[k32_zn05]   50000/120000 loss 2.2032e-04 recon 7.8414e-03 [156s]
   hfit[k32_zn05]   55000/120000 loss 1.9005e-04 recon 7.2465e-03 [171s]
   hfit[k32_zn05]   60000/120000 loss 1.7123e-04 recon 6.7813e-03 [186s]
   hfit[k32_zn05]   65000/120000 loss 1.5283e-04 recon 6.2771e-03 [202s]
   hfit[k32_zn05]   70000/120000 loss 1.2888e-04 recon 5.3704e-03 [217s]
   hfit[k32_zn05]   75000/120000 loss 1.1810e-04 recon 5.1607e-03 [233s]
   hfit[k32_zn05]   80000/120000 loss 1.0979e-04 recon 4.6587e-03 [248s]
   hfit[k32_zn05]   85000/120000 loss 9.7817e-05 recon 4.1587e-03 [264s]
   hfit[k32_zn05]   90000/120000 loss 9.2102e-05 recon 3.9180e-03 [279s]
   hfit[k32_zn05]   95000/120000 loss 8.5799e-05 recon 3.3978e-03 [295s]
   hfit[k32_zn05]  100000/120000 loss 8.3420e-05 recon 3.1451e-03 [310s]
   hfit[k32_zn05]  105000/120000 loss 7.9491e-05 recon 2.8534e-03 [326s]
   hfit[k32_zn05]  110000/120000 loss 7.6642e-05 recon 2.7224e-03 [341s]
   hfit[k32_zn05]  115000/120000 loss 7.6899e-05 recon 2.6149e-03 [357s]
   hfit[k32_zn05]  120000/120000 loss 7.6054e-05 recon 2.4634e-03 [372s]
  ARM k32_zn05: recon 2.4634e-03  oracle 1.3579e-02  oracle/floor 63.9x  oracle_nn 1.3557e-02  code-refit gain 1.251x
   hfit[k48_znoise]       1/120000 loss 1.0426e+00 recon 1.0204e+00 [3s]
   hfit[k48_znoise]    5000/120000 loss 1.2968e-03 recon 3.1138e-02 [18s]
   hfit[k48_znoise]   10000/120000 loss 5.7584e-04 recon 1.9831e-02 [34s]
   hfit[k48_znoise]   15000/120000 loss 3.8776e-04 recon 1.5824e-02 [50s]
   hfit[k48_znoise]   20000/120000 loss 2.8943e-04 recon 1.3608e-02 [66s]
   hfit[k48_znoise]   25000/120000 loss 2.2609e-04 recon 1.1279e-02 [81s]
   hfit[k48_znoise]   30000/120000 loss 2.0177e-04 recon 1.0452e-02 [97s]
   hfit[k48_znoise]   35000/120000 loss 1.7658e-04 recon 1.0102e-02 [113s]
   hfit[k48_znoise]   40000/120000 loss 1.5481e-04 recon 8.8362e-03 [128s]
   hfit[k48_znoise]   45000/120000 loss 1.4280e-04 recon 8.7070e-03 [144s]
   hfit[k48_znoise]   50000/120000 loss 1.1474e-04 recon 7.3739e-03 [160s]
   hfit[k48_znoise]   55000/120000 loss 9.9875e-05 recon 6.4367e-03 [176s]
   hfit[k48_znoise]   60000/120000 loss 9.4008e-05 recon 6.7127e-03 [191s]
   hfit[k48_znoise]   65000/120000 loss 8.1586e-05 recon 5.5457e-03 [207s]
   hfit[k48_znoise]   70000/120000 loss 7.4293e-05 recon 5.0366e-03 [223s]
   hfit[k48_znoise]   75000/120000 loss 7.0168e-05 recon 4.5701e-03 [238s]
   hfit[k48_znoise]   80000/120000 loss 6.1460e-05 recon 4.0586e-03 [254s]
   hfit[k48_znoise]   85000/120000 loss 5.8060e-05 recon 3.6892e-03 [270s]
   hfit[k48_znoise]   90000/120000 loss 5.4217e-05 recon 3.3094e-03 [286s]
   hfit[k48_znoise]   95000/120000 loss 5.0905e-05 recon 2.9128e-03 [301s]
   hfit[k48_znoise]  100000/120000 loss 4.8418e-05 recon 2.7280e-03 [317s]
   hfit[k48_znoise]  105000/120000 loss 4.6858e-05 recon 2.3113e-03 [333s]
   hfit[k48_znoise]  110000/120000 loss 4.5682e-05 recon 2.0776e-03 [348s]
   hfit[k48_znoise]  115000/120000 loss 4.3928e-05 recon 1.8915e-03 [364s]
   hfit[k48_znoise]  120000/120000 loss 4.4878e-05 recon 1.8340e-03 [380s]
  ARM k48_znoise: recon 1.8340e-03  oracle 5.0345e-03  oracle/floor 23.7x  oracle_nn 5.0334e-03  code-refit gain 1.311x
HFIT done in 1184s -> /cluster/tufts/paralab/tawal01/burgacc/hf6/out/hfit_hf6.json
ALL-DONE
