host=pax049 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k96', 'k128', 'k48_wd', 'k48_h512'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k96]       1/120000 loss 1.0827e+00 recon 1.0379e+00 [7s]
   hfit[k96]    5000/120000 loss 9.5696e-04 recon 2.7643e-02 [35s]
   hfit[k96]   10000/120000 loss 3.4219e-04 recon 1.6455e-02 [64s]
   hfit[k96]   15000/120000 loss 2.4085e-04 recon 1.3668e-02 [93s]
   hfit[k96]   20000/120000 loss 2.1029e-04 recon 1.2662e-02 [122s]
   hfit[k96]   25000/120000 loss 1.0123e-04 recon 9.1671e-03 [152s]
   hfit[k96]   30000/120000 loss 8.2121e-05 recon 7.8988e-03 [181s]
   hfit[k96]   35000/120000 loss 6.1605e-05 recon 6.9216e-03 [210s]
   hfit[k96]   40000/120000 loss 4.6894e-05 recon 6.0373e-03 [239s]
   hfit[k96]   45000/120000 loss 4.5628e-05 recon 5.9575e-03 [268s]
   hfit[k96]   50000/120000 loss 3.5153e-05 recon 5.1302e-03 [298s]
   hfit[k96]   55000/120000 loss 1.8617e-05 recon 3.7509e-03 [327s]
   hfit[k96]   60000/120000 loss 1.3421e-05 recon 3.5745e-03 [356s]
   hfit[k96]   65000/120000 loss 1.2231e-05 recon 3.2668e-03 [385s]
   hfit[k96]   70000/120000 loss 7.6023e-06 recon 2.5570e-03 [415s]
   hfit[k96]   75000/120000 loss 6.5379e-06 recon 2.4313e-03 [444s]
   hfit[k96]   80000/120000 loss 3.4902e-06 recon 1.9309e-03 [473s]
   hfit[k96]   85000/120000 loss 2.2729e-06 recon 1.5472e-03 [502s]
   hfit[k96]   90000/120000 loss 1.8654e-06 recon 1.4865e-03 [531s]
   hfit[k96]   95000/120000 loss 1.6339e-06 recon 1.3831e-03 [561s]
   hfit[k96]  100000/120000 loss 1.1367e-06 recon 1.2130e-03 [590s]
   hfit[k96]  105000/120000 loss 9.3562e-07 recon 1.1217e-03 [619s]
   hfit[k96]  110000/120000 loss 8.5625e-07 recon 1.0887e-03 [648s]
   hfit[k96]  115000/120000 loss 8.2710e-07 recon 1.0726e-03 [678s]
   hfit[k96]  120000/120000 loss 8.1335e-07 recon 1.0647e-03 [707s]
  ARM k96: recon 1.0647e-03  oracle 2.7636e-03  oracle/floor 13.0x  oracle_nn 2.7632e-03  code-refit gain 1.298x
   hfit[k128]       1/120000 loss 1.1118e+00 recon 1.0493e+00 [5s]
   hfit[k128]    5000/120000 loss 8.8565e-04 recon 2.7315e-02 [34s]
   hfit[k128]   10000/120000 loss 3.2609e-04 recon 1.6021e-02 [64s]
   hfit[k128]   15000/120000 loss 1.8996e-04 recon 1.1871e-02 [94s]
   hfit[k128]   20000/120000 loss 2.0214e-04 recon 1.2294e-02 [123s]
   hfit[k128]   25000/120000 loss 1.2734e-04 recon 9.7665e-03 [153s]
   hfit[k128]   30000/120000 loss 5.5106e-05 recon 6.5941e-03 [183s]
   hfit[k128]   35000/120000 loss 4.3895e-05 recon 5.6734e-03 [212s]
   hfit[k128]   40000/120000 loss 3.9971e-05 recon 5.4524e-03 [242s]
   hfit[k128]   45000/120000 loss 3.7346e-05 recon 5.4315e-03 [272s]
   hfit[k128]   50000/120000 loss 2.7458e-05 recon 4.7744e-03 [301s]
   hfit[k128]   55000/120000 loss 2.3316e-05 recon 4.2576e-03 [331s]
   hfit[k128]   60000/120000 loss 1.3297e-05 recon 3.3419e-03 [361s]
   hfit[k128]   65000/120000 loss 9.9496e-06 recon 2.8991e-03 [390s]
   hfit[k128]   70000/120000 loss 4.4755e-06 recon 2.1043e-03 [420s]
