host=pax003 gpu=NVIDIA A100-PCIE-40GB
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k48_wd4', 'k48_wd3', 'k48_wd2', 'k48_short'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k48_wd4]       1/120000 loss 1.0426e+00 recon 1.0204e+00 [7s]
   hfit[k48_wd4]    5000/120000 loss 9.7610e-04 recon 2.7455e-02 [37s]
   hfit[k48_wd4]   10000/120000 loss 3.3588e-04 recon 1.6493e-02 [68s]
   hfit[k48_wd4]   15000/120000 loss 2.5066e-04 recon 1.5125e-02 [100s]
   hfit[k48_wd4]   20000/120000 loss 2.3696e-04 recon 1.2900e-02 [131s]
   hfit[k48_wd4]   25000/120000 loss 1.3003e-04 recon 1.0393e-02 [163s]
   hfit[k48_wd4]   30000/120000 loss 9.9170e-05 recon 9.0458e-03 [194s]
   hfit[k48_wd4]   35000/120000 loss 6.0981e-05 recon 7.0325e-03 [226s]
   hfit[k48_wd4]   40000/120000 loss 7.1837e-05 recon 7.1260e-03 [257s]
   hfit[k48_wd4]   45000/120000 loss 5.2885e-05 recon 6.3698e-03 [289s]
   hfit[k48_wd4]   50000/120000 loss 3.0957e-05 recon 5.0505e-03 [321s]
   hfit[k48_wd4]   55000/120000 loss 2.9698e-05 recon 5.1256e-03 [352s]
   hfit[k48_wd4]   60000/120000 loss 2.0410e-05 recon 4.6757e-03 [384s]
   hfit[k48_wd4]   65000/120000 loss 1.2100e-05 recon 3.2254e-03 [415s]
   hfit[k48_wd4]   70000/120000 loss 9.7165e-06 recon 2.9647e-03 [447s]
   hfit[k48_wd4]   75000/120000 loss 9.0499e-06 recon 2.8453e-03 [479s]
   hfit[k48_wd4]   80000/120000 loss 6.2847e-06 recon 2.5316e-03 [510s]
   hfit[k48_wd4]   85000/120000 loss 4.6974e-06 recon 2.1632e-03 [542s]
   hfit[k48_wd4]   90000/120000 loss 3.3154e-06 recon 1.9021e-03 [573s]
   hfit[k48_wd4]   95000/120000 loss 2.3115e-06 recon 1.6167e-03 [605s]
   hfit[k48_wd4]  100000/120000 loss 1.7628e-06 recon 1.4507e-03 [636s]
   hfit[k48_wd4]  105000/120000 loss 1.6065e-06 recon 1.3919e-03 [668s]
   hfit[k48_wd4]  110000/120000 loss 1.4569e-06 recon 1.3445e-03 [700s]
   hfit[k48_wd4]  115000/120000 loss 1.4163e-06 recon 1.3217e-03 [731s]
