host=pax063 gpu=NVIDIA H100 PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['wide_wd4', 'wide_wd3', 'wide_short'] steps=120000
  whitening round-trip 6.759e-15   q == L^T h deviation 9.358e-16
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[wide_wd4]       1/120000 loss 1.0157e+00 recon 1.0077e+00 [4s]
   hfit[wide_wd4]    5000/120000 loss 1.8933e-03 recon 3.9920e-02 [19s]
   hfit[wide_wd4]   10000/120000 loss 6.8729e-04 recon 2.4524e-02 [34s]
   hfit[wide_wd4]   15000/120000 loss 4.2524e-04 recon 1.9047e-02 [49s]
   hfit[wide_wd4]   20000/120000 loss 3.1249e-04 recon 1.4932e-02 [64s]
   hfit[wide_wd4]   25000/120000 loss 1.9317e-04 recon 1.2599e-02 [79s]
   hfit[wide_wd4]   30000/120000 loss 1.8631e-04 recon 1.3460e-02 [94s]
   hfit[wide_wd4]   35000/120000 loss 1.3773e-04 recon 1.0477e-02 [109s]
   hfit[wide_wd4]   40000/120000 loss 1.0392e-04 recon 8.8818e-03 [125s]
   hfit[wide_wd4]   45000/120000 loss 8.6033e-05 recon 8.5586e-03 [140s]
   hfit[wide_wd4]   50000/120000 loss 8.1478e-05 recon 8.3982e-03 [155s]
   hfit[wide_wd4]   55000/120000 loss 6.1454e-05 recon 6.9346e-03 [171s]
   hfit[wide_wd4]   60000/120000 loss 4.5332e-05 recon 7.0085e-03 [186s]
   hfit[wide_wd4]   65000/120000 loss 3.5921e-05 recon 5.4376e-03 [201s]
   hfit[wide_wd4]   70000/120000 loss 1.5210e-05 recon 3.7845e-03 [217s]
   hfit[wide_wd4]   75000/120000 loss 1.5519e-05 recon 3.8740e-03 [232s]
   hfit[wide_wd4]   80000/120000 loss 1.1584e-05 recon 3.3404e-03 [247s]
   hfit[wide_wd4]   85000/120000 loss 1.0322e-05 recon 3.2705e-03 [263s]
   hfit[wide_wd4]   90000/120000 loss 8.5549e-06 recon 2.9873e-03 [278s]
   hfit[wide_wd4]   95000/120000 loss 6.6466e-06 recon 2.5859e-03 [294s]
   hfit[wide_wd4]  100000/120000 loss 5.6676e-06 recon 2.4095e-03 [309s]
   hfit[wide_wd4]  105000/120000 loss 5.1267e-06 recon 2.2923e-03 [325s]
   hfit[wide_wd4]  110000/120000 loss 4.6748e-06 recon 2.2167e-03 [340s]
   hfit[wide_wd4]  115000/120000 loss 4.5304e-06 recon 2.1724e-03 [356s]
   hfit[wide_wd4]  120000/120000 loss 4.4777e-06 recon 2.1464e-03 [371s]
  ARM wide_wd4: recon 2.1464e-03  oracle 6.1038e-03  oracle/floor 28.7x  oracle_nn 6.0871e-03  code-refit gain 1.083x
   hfit[wide_wd3]       1/120000 loss 1.0157e+00 recon 1.0077e+00 [1s]
   hfit[wide_wd3]    5000/120000 loss 1.8887e-03 recon 3.9830e-02 [16s]
   hfit[wide_wd3]   10000/120000 loss 5.9117e-04 recon 2.2709e-02 [31s]
   hfit[wide_wd3]   15000/120000 loss 4.4928e-04 recon 1.9815e-02 [47s]
   hfit[wide_wd3]   20000/120000 loss 3.1126e-04 recon 1.5767e-02 [62s]
   hfit[wide_wd3]   25000/120000 loss 2.1267e-04 recon 1.2725e-02 [78s]
   hfit[wide_wd3]   30000/120000 loss 1.2850e-04 recon 1.0573e-02 [93s]
   hfit[wide_wd3]   35000/120000 loss 1.1966e-04 recon 1.0430e-02 [109s]
   hfit[wide_wd3]   40000/120000 loss 7.2737e-05 recon 7.5362e-03 [125s]
   hfit[wide_wd3]   45000/120000 loss 7.7422e-05 recon 8.0744e-03 [140s]
   hfit[wide_wd3]   50000/120000 loss 8.7396e-05 recon 8.7346e-03 [156s]
   hfit[wide_wd3]   55000/120000 loss 5.1152e-05 recon 6.3903e-03 [171s]
   hfit[wide_wd3]   60000/120000 loss 4.0796e-05 recon 6.4633e-03 [187s]
   hfit[wide_wd3]   65000/120000 loss 2.6735e-05 recon 4.6633e-03 [202s]
   hfit[wide_wd3]   70000/120000 loss 2.3947e-05 recon 4.7197e-03 [218s]
   hfit[wide_wd3]   75000/120000 loss 1.9760e-05 recon 4.2262e-03 [233s]
