host=pax007 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['wide', 'refit_ctl'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 3.7905e-04  fresh test 2.1236e-04  (S=2105, R=512, K_ckpt=16)
   hfit[wide]       1/120000 loss 1.0139e+00 recon 1.0067e+00 [6s]
   hfit[wide]    5000/120000 loss 1.3438e-04 recon 1.1610e-02 [20s]
   hfit[wide]   10000/120000 loss 7.5794e-05 recon 8.0763e-03 [34s]
   hfit[wide]   15000/120000 loss 1.0442e-04 recon 1.0273e-02 [49s]
   hfit[wide]   20000/120000 loss 3.0793e-05 recon 5.4645e-03 [64s]
   hfit[wide]   25000/120000 loss 7.6659e-05 recon 7.9350e-03 [78s]
   hfit[wide]   30000/120000 loss 2.4617e-05 recon 4.4525e-03 [93s]
   hfit[wide]   35000/120000 loss 1.5710e-05 recon 3.9274e-03 [107s]
   hfit[wide]   40000/120000 loss 1.6365e-05 recon 3.8443e-03 [122s]
   hfit[wide]   45000/120000 loss 1.7157e-05 recon 4.1651e-03 [137s]
   hfit[wide]   50000/120000 loss 1.0085e-05 recon 3.2473e-03 [151s]
   hfit[wide]   55000/120000 loss 7.4633e-06 recon 2.9472e-03 [166s]
   hfit[wide]   60000/120000 loss 8.0893e-06 recon 2.9406e-03 [180s]
   hfit[wide]   65000/120000 loss 2.6278e-06 recon 1.5363e-03 [195s]
   hfit[wide]   70000/120000 loss 2.3910e-06 recon 1.5415e-03 [209s]
   hfit[wide]   75000/120000 loss 1.2873e-06 recon 1.2191e-03 [224s]
   hfit[wide]   80000/120000 loss 8.1933e-07 recon 1.0883e-03 [239s]
   hfit[wide]   85000/120000 loss 3.1062e-07 recon 7.4796e-04 [253s]
   hfit[wide]   90000/120000 loss 3.4780e-07 recon 7.5848e-04 [268s]
   hfit[wide]   95000/120000 loss 3.0056e-07 recon 7.3250e-04 [282s]
   hfit[wide]  100000/120000 loss 2.0480e-07 recon 6.5912e-04 [297s]
   hfit[wide]  105000/120000 loss 1.6777e-07 recon 6.2316e-04 [312s]
   hfit[wide]  110000/120000 loss 1.5299e-07 recon 6.0866e-04 [326s]
   hfit[wide]  115000/120000 loss 1.4774e-07 recon 6.0310e-04 [341s]
   hfit[wide]  120000/120000 loss 1.3896e-07 recon 5.9402e-04 [355s]
  ARM wide: recon 5.9402e-04  oracle 5.3505e-02  oracle/floor 251.9x  oracle_nn 5.3118e-02  code-refit gain 1.013x  hold 7.2056e-02 (205.2x)
   hfit[refit_ctl]       1/120000 loss 8.5674e-05 recon 6.8719e-03 [4s]
   hfit[refit_ctl]    5000/120000 loss 3.6867e-05 recon 5.1523e-03 [6s]
   hfit[refit_ctl]   10000/120000 loss 4.2783e-05 recon 5.1414e-03 [9s]
   hfit[refit_ctl]   15000/120000 loss 2.2681e-05 recon 4.2987e-03 [12s]
   hfit[refit_ctl]   20000/120000 loss 3.4852e-05 recon 4.8443e-03 [15s]
   hfit[refit_ctl]   25000/120000 loss 1.9381e-05 recon 4.0354e-03 [18s]
   hfit[refit_ctl]   30000/120000 loss 1.2843e-05 recon 3.3491e-03 [21s]
   hfit[refit_ctl]   35000/120000 loss 3.5041e-05 recon 5.2589e-03 [24s]
   hfit[refit_ctl]   40000/120000 loss 2.9868e-05 recon 4.4235e-03 [27s]
   hfit[refit_ctl]   45000/120000 loss 1.5954e-05 recon 3.6787e-03 [29s]
   hfit[refit_ctl]   50000/120000 loss 9.5614e-06 recon 2.9123e-03 [32s]
   hfit[refit_ctl]   55000/120000 loss 8.5920e-06 recon 2.7077e-03 [35s]
   hfit[refit_ctl]   60000/120000 loss 8.4056e-06 recon 2.6536e-03 [38s]
   hfit[refit_ctl]   65000/120000 loss 7.0963e-06 recon 2.5355e-03 [41s]
   hfit[refit_ctl]   70000/120000 loss 7.8455e-06 recon 2.6167e-03 [44s]
   hfit[refit_ctl]   75000/120000 loss 6.2420e-06 recon 2.4072e-03 [47s]
   hfit[refit_ctl]   80000/120000 loss 5.9405e-06 recon 2.3594e-03 [50s]
   hfit[refit_ctl]   85000/120000 loss 5.5171e-06 recon 2.2535e-03 [52s]
   hfit[refit_ctl]   90000/120000 loss 4.8268e-06 recon 2.1233e-03 [55s]
   hfit[refit_ctl]   95000/120000 loss 4.4288e-06 recon 2.0373e-03 [58s]
   hfit[refit_ctl]  100000/120000 loss 4.3375e-06 recon 2.0139e-03 [61s]
   hfit[refit_ctl]  105000/120000 loss 4.1150e-06 recon 1.9650e-03 [64s]
   hfit[refit_ctl]  110000/120000 loss 4.0238e-06 recon 1.9412e-03 [67s]
   hfit[refit_ctl]  115000/120000 loss 3.9490e-06 recon 1.9242e-03 [70s]
   hfit[refit_ctl]  120000/120000 loss 3.8966e-06 recon 1.9119e-03 [73s]
  ARM refit_ctl: recon 1.9119e-03  oracle 1.4625e-02  oracle/floor 68.9x  oracle_nn 1.4625e-02  code-refit gain 1.000x  hold 2.0204e-02 (57.5x)
HFIT done in 484s -> /cluster/tufts/paralab/tawal01/burgacc/lc72/out/hfit_lc72.json
ALL-DONE
