pde,experiment,job_id,source_commit,result_json,sha256
Heat,Initial mesh transfer,3349961,ad882df3ecb8614d4cafa6a25761e920f3074e3d,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/pilot01/archive/outputs/results.json,a3334207d5932d3fe655bc6154a88d8b9bec95802e89093825db234f27f23ed2
Heat,Stopping tolerance and compilation,3350258,06f8ed98653e95bbf094c42212171d0db3519541,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/pilot02/archive/outputs/results.json,6b7d50abe64c1bf588c2c45fc568e659cbdb44f8b724863ae52c27e3f03ed727
Heat,Head training coverage,3352849,0597f0dd505de537ebbda459d9db330132126d44,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/pilot03/archive/outputs/results.json,4396a936eede250040af69227724b8e4538aac50fa2615feb8c74fca41e9c97b
Heat,Wider frozen transfer and fresh inputs,3354958,88ae5905d3f1ec424edbc4d7b8027e19eebe296b,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/transfer04/archive/outputs/results.json,9efffdee15de45d5c375703877eb52654dc6569ea22ada919af0b56224886a76
Burgers,Initial mesh transfer,3350012,96befb8815a4c20c8d9f2862502e454ab8402032,worktrees/2026-09-07-mr-burgers2d/experiments/mr-burgers2d/runs/pilot01/out/pilot.json,a32a243b91e83fb686ea0f8d51bec6e06155eb4d006e0c4cca548483abe0a42d
Burgers,Reference refinement and multiple initial guesses,3350134,9a2025c1f0624db91fb8ecbcfef0d0d433373187,worktrees/2026-09-07-mr-burgers2d/experiments/mr-burgers2d/runs/pilot02/out/pilot.json,1675d38d9649f2aec72ca06cac913bc36394e351c362c364e45e3d1b2a8b6933
Burgers,Initial fitting objective diagnostics,3350594,0fb42607811425d639ba58714da2210f152cf463,worktrees/2026-09-07-mr-burgers2d/experiments/mr-burgers2d/runs/cold03/out/cold_fit.json,19d127527b46f17a730ece91ed0512f5cbcbdf29a750c2df48fe032fdca1da3c
Burgers,Corrected initial fit and full rollouts,3352857,d73fb4119057d4826c783d02829dd08835fe7a24,worktrees/2026-09-07-mr-burgers2d/experiments/mr-burgers2d/runs/rollout04/out/pilot.json,5b685f83e85d424bf0541f320f0ae24bd677926e8060e13ca606925d8a0ed83a
Burgers,Larger time steps,3353574,ffd57ee68cd1a1a61503556135d74220a0ca2fa0,worktrees/2026-09-07-mr-burgers2d/experiments/mr-burgers2d/runs/steps05/out/pilot.json,689a2abab1efd920d0a5ad74debb17b126c4601706cbb24225571f4c17d1d865
Poisson,Initial mesh transfer,3350079,82d2c3261126cb150bb83220ec3edbcf0dd5f489,worktrees/2026-09-07-mr-poisson2d/experiments/multiresolution-poisson/runs/pilot01/result.json,f9c97554649ae87f316bc872fddd136518e94b333f4697b669b21a8e5c3fe8bd
Poisson,"Weak modes, representation and compilation",3350408,0175877d40c96bc4c0e28cd2c8e2e3b0f6cbc966,worktrees/2026-09-07-mr-poisson2d/experiments/multiresolution-poisson/runs/pilot02/result.json,37776edbe08140b47828ba79242bb55755b2ca04ae98add8a8f606b283ad8fc8
Poisson,Guarded small-system solver,3352868,20f96592b14c2d9727eb40341d2c6cbcb568f464,worktrees/2026-09-07-mr-poisson2d/experiments/multiresolution-poisson/runs/pilot03/result.json,19297e7066fea2b0bcb17170bf83b6d834970d490b1c794a77a08a69ed0ea3af
Poisson,Training coverage and loss factorial,3353137,0ed8384c30ff150d0f25adfe1dead41a8a739c26,worktrees/2026-09-07-mr-poisson2d/experiments/multiresolution-poisson/runs/pilot04/result.json,eea771f0ee04d224d84d6a12301401b942a1c3f0b06680525d9d844f383eab3e
Poisson,Source projection and initialization factorial,3354845,20893525a16603a99f527dbd9e10affcdc206b9d,worktrees/2026-09-07-mr-poisson2d/experiments/multiresolution-poisson/runs/pilot05/result.json,717d3bfb902d4b135ed436ecd6a1b223d48202458da462dd28927984819e1ed5
Fresh waves,Initial mesh transfer,3349951,a02aacd9578f46a9bee0dcb093acd35e62d10739,worktrees/2026-09-07-mr-wave2d/experiments/multiresolution-wave/runs/pilot01/cluster/out/pilot/result.json,d969c32607dacdd0d87e7a411eb8c426ed4dc98fcabe0d993261f753c10e86c5
Fresh waves,"Nonlinear, affine and full-bank dynamics",3353136,a0c4d0a7d7b59b05615846e61df0499ef5de4f62,worktrees/2026-09-07-mr-wave2d/experiments/multiresolution-wave/runs/dynamics02/cluster/out/pilot/result.json,e6ffda759faf5bf7e468e789f068b435b4a3e3f7ed6c01b9653f7c8cbac18063
Fresh waves,Larger nonlinear heads,3353701,0351e9865ac4559c9e9dbd7bfe4b8a52596e143c,worktrees/2026-09-07-mr-wave2d/experiments/multiresolution-wave/runs/k32heads03/cluster/out/pilot/result.json,b76064e45af70de38b75f1f3f7e383982017c82effefbfd04ad7d8ac75ca4851
