problem,phase,intervals,method,gpu_ms,host_ms,worst_error,error_norm,target,qualified,solver_converged,stationarity_status,stalled_initial_fits,stalled_steps,gpu_outliers,host_outliers,invocations,job_id
Poisson 2D,original comparison,64,nmrom,2.4676764151081443,3.3395346254110336,0.06802558226391782,current-relative solution L2,0.05,False,True,see native solver audit,0,0,2,1,90,3534456
Poisson 2D,original comparison,64,dst,0.13037188909947872,1.4264225028455257,0.002572172851689943,current-relative solution L2,0.05,True,True,see native solver audit,0,0,3,2,90,3534456
Poisson 2D,original comparison,64,cg_1e-06,5.734171019867063,6.4725244883447886,0.0025721658257001046,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,64,cg_1e-04,4.837378510273993,5.577788455411792,0.002573000966782946,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,64,cg_1e-02,3.5380745539441705,4.329343908466399,0.004030522952679789,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,64,cg_3e-02,3.2234055688604712,3.924144431948662,0.011347920341766318,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,64,cg_1e-01,2.777187037281692,3.5313934786245227,0.08816888062280737,current-relative solution L2,0.05,False,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,256,nmrom,2.355025033466518,3.3197260927408934,0.06801564300500436,current-relative solution L2,0.05,False,True,see native solver audit,0,0,1,1,90,3534456
Poisson 2D,original comparison,256,dst,0.1303255558013916,1.4400980435311794,0.0001545997763344007,current-relative solution L2,0.05,True,True,see native solver audit,0,0,4,0,90,3534456
Poisson 2D,original comparison,256,cg_1e-06,22.27921551093459,23.281399509869516,0.00015459738356351157,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,256,cg_1e-04,18.488761852495372,19.48313950560987,0.00015547091128564674,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
Poisson 2D,original comparison,256,cg_1e-02,13.000422972254455,13.967743841931224,0.0015375579305341915,current-relative solution L2,0.05,True,True,see native solver audit,0,0,0,0,90,3534456
