section,pde,mesh,method,error_pct,median_error_pct,method_ms,fom,fom_error_pct,fom_ms,speedup,clock,norm,note,source,job_id
NM-ROM,Burgers 2D,256² intervals,q0_M64_eqcert_g1em06_fastL4,1.8891456982792685,1.0100218817339819,40.35864432808012,nt1e-3_dt01,1.5178517607598867,19.724276033230126,0.4887249401364721,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789570
NM-ROM,Burgers 2D,256² intervals,q256_M1088_eqtop_g1em06,0.5129194368597558,0.1789259532922587,746.0200455971062,nt1e-3_dt005,0.04889766354765399,31.787732965312898,0.042609757141137336,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789570
Neural operators,Burgers 2D,256² intervals,fno-large,7.416410478237783,2.5256102259760738,7.182571920566261,nt1e-2_dt01,3.199937091473226,9.009246015921235,1.254320334770969,GPU,initial-field L2; evolved times,Paired FNO from the Burgers panel. This cohort/reference differs from the separate U-Net/Transolver operator study.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789570
NM-ROM,Burgers 2D,512² intervals,q0_M64_eqxfer_g1em06_fastL4,2.139992785875173,1.0351050960100059,40.491704479791224,nt1e-3_dt01,1.5893416045412816,33.71582238469273,0.8326599933949377,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3805065
NM-ROM,Burgers 2D,512² intervals,q256_M1088_eqtopxfer_g1em06,0.5509721660506048,0.18450136305010412,783.3276834571734,nt1e-3_dt005,0.051606745250106834,52.91527253575623,0.06755189897313166,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3805065
Neural operators,Burgers 2D,512² intervals,fno-large,6.616861015609063,2.661327937556066,22.475625039078295,nt1e-2_dt01,3.3549853901440385,13.851479045115411,0.6162889361711583,GPU,initial-field L2; evolved times,Paired FNO from the Burgers panel. This cohort/reference differs from the separate U-Net/Transolver operator study.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3805065
NM-ROM,Burgers 2D,1024² intervals,q0_M64_eqxfer_g1em06,2.2912840655657516,1.0393864106990887,40.26987950783223,nt1e-4_dt01,1.6287209985383715,64.03521506581455,1.590151643075071,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789572
NM-ROM,Burgers 2D,1024² intervals,q256_M1088_dense_g1em06,0.5860844308137502,0.1854450954445365,22053.852356038988,nt1e-4_dt005,0.03428094698588521,81.31132053676993,0.0036869440868685472,GPU,initial-field L2; evolved times,Development. Evolved-time advantage at the largest mesh disappears when initial compression is included. EQ construction status is retained in source_metrics.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789572
Neural operators,Burgers 2D,1024² intervals,fno-large,6.265688581902351,2.8006956387847666,58.91731951851398,nt1e-2_dt01,3.4581810072340486,17.724266508594155,0.3008328731422437,GPU,initial-field L2; evolved times,Paired FNO from the Burgers panel. This cohort/reference differs from the separate U-Net/Transolver operator study.,worktrees/2026-09-17-b-panel/experiments/b-panel/reports/summary.json,3789572
NM-ROM,Poisson 2D,1024² intervals,q0_m4@new_K32,3.1495039123511046,0.5078711116881901,3.9406470023095608,dst_direct,5.087343686108074e-14,0.2369144931435585,0.06012070936694052,GPU,current-field L2; steady state,Development. Iterative q=512 failed its stopping rule; the separately timed direct linear endpoint is listed instead.,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,3783813
NM-ROM,Poisson 2D,1024² intervals,q256_m4@new_K32,0.9647906290076345,0.13145967682309628,4.318764549680054,dst_direct,5.087343686108074e-14,0.2369144931435585,0.05485700607621913,GPU,current-field L2; steady state,Development. Iterative q=512 failed its stopping rule; the separately timed direct linear endpoint is listed instead.,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,3783813
Linear endpoints,Poisson 2D,1024² intervals,d_linear_qr_m4@new_K32,0.7421302120898828,0.058011197306195784,1.8299876246601343,dst_direct,5.087343686108074e-14,0.2369144931435585,0.12946234714978377,GPU,current-field L2; steady state,Development. Iterative q=512 failed its stopping rule; the separately timed direct linear endpoint is listed instead.,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,3783813
NM-ROM,Heat 2D,1024² intervals,nmrom,4.555461377197961,,12.318827561102808,fom_same_grid,0.0,1.03456259239465,0.08398222860601791,GPU,current-field L2; evolved times,Earlier audited bank/head experiment. Same-grid error here; the prior paper table instead reported physical-reference all-times error.,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/linear05/archive/outputs/results.json,
Linear endpoints,Heat 2D,1024² intervals,linear_weak_exact,1.2315426976585677,,0.5616594571620226,fom_same_grid,0.0,1.03456259239465,1.8419748465059824,GPU,current-field L2; evolved times,Earlier audited bank/head experiment. Same-grid error here; the prior paper table instead reported physical-reference all-times error.,worktrees/2026-09-07-mr-heat2d/experiments/mr-heat2d/runs/linear05/archive/outputs/results.json,
NM-ROM,Reflective wave 2D,1024² intervals,head_q0,6.1065974723820435,,192.46241403743625,dst,0,17.102756537497044,0.08886283913164651,GPU,current displacement L2; all sampled times,Displacement only. Velocity and energy-state errors are separate source metrics; this does not establish an all-state accuracy pass.,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,3780450
NM-ROM,Reflective wave 2D,1024² intervals,nested_q32,2.8094300105452796,,2529.4449974317104,dst,0,17.102756537497044,0.006761466074519291,GPU,current displacement L2; all sampled times,Displacement only. Velocity and energy-state errors are separate source metrics; this does not establish an all-state accuracy pass.,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,3780450
Linear endpoints,Reflective wave 2D,1024² intervals,linear_bank64,2.8192432530487332,,4.562370013445616,dst,0,17.102756537497044,3.7486561780596603,GPU,current displacement L2; all sampled times,Displacement only. Velocity and energy-state errors are separate source metrics; this does not establish an all-state accuracy pass.,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,3780450
NM-ROM,L-shaped Poisson 2D,256² intervals,neural_q0@head_sdf_R512_K16,3.8608496739056593,0.8352448484428059,2.878709463402629,fom_splu,2.0489131641874903e-12,8.386203437112272,2.9131815988126135,Complete query,current-field L2; steady state,Complete-query clock includes transfers and the CPU sparse-direct control. Development.,worktrees/2026-09-17-lshape/experiments/lshape/reports/summary.json,3784663
NM-ROM,L-shaped Poisson 2D,256² intervals,neural_q64@head_sdf_R512_K16,2.130548143759591,0.7189544088598674,3.0282585648819804,fom_splu,2.0489131641874903e-12,8.386203437112272,2.7693155182866973,Complete query,current-field L2; steady state,Complete-query clock includes transfers and the CPU sparse-direct control. Development.,worktrees/2026-09-17-lshape/experiments/lshape/reports/summary.json,3784663
NM-ROM,L-shaped Poisson 2D,512² intervals,neural_q0@head_sdf_R512_K16,3.8520647297506585,0.8301971511685531,4.716053954325616,fom_cg_gpu_r0.01,0.3845242627555538,29.12696509156376,6.176130590034533,Complete query,current-field L2; steady state,Complete-query clock includes transfers and the CPU sparse-direct control. Development.,worktrees/2026-09-17-lshape/experiments/lshape/reports/summary.json,3789568
NM-ROM,L-shaped Poisson 2D,512² intervals,neural_q64@head_sdf_R512_K16,2.1232983314622316,0.714426649706575,4.800847033038735,fom_cg_gpu_r0.01,0.3845242627555538,29.12696509156376,6.0670471046288705,Complete query,current-field L2; steady state,Complete-query clock includes transfers and the CPU sparse-direct control. Development.,worktrees/2026-09-17-lshape/experiments/lshape/reports/summary.json,3789568
NM-ROM,Navier–Stokes 2D,256² periodic points,neural_q0,68.76538694125485,41.39215056680621,13387.538022478111,fom_ntol0.003,25.589480022517087,263.1616754224524,0.01965721217602485,GPU,initial vorticity L2; evolved times,Exploratory after the representation gate failed; q=512 reaches full-bank capacity. Initial-fit convergence is not implied by zero evolution budget exits.,worktrees/2026-09-17-ns2d/experiments/ns2d/artifacts/ns304/result.json,3808502
