method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K32, q0",5.7071,10.8780,11.7177,11.7177,—,186.36376201175153,230.97268723649904,0,0,0,24,development
"NM-ROM K32, q64",4.9359,8.9108,9.4908,9.4908,—,267.8166659316048,325.615685316734,0,0,0,24,development
"NM-ROM K32, q128",3.3258,6.6491,7.1187,7.1187,—,353.54157793335617,428.61352203181013,0,0,0,24,development
"NM-ROM K32, q192",1.3600,3.4908,3.9087,3.9087,—,418.7117728870362,620.8080011187121,0,0,0,24,development
Full learned bank R256,0.8437,2.4345,2.8901,2.8901,—,316.9640210689977,317.6288314629346,0,0,0,24,development
POD32,9.5224,22.6947,24.9424,24.9424,—,95.73836962226778,96.2113791028969,0,0,0,24,development
POD96,1.9855,5.5785,6.6983,6.6983,—,151.27295244019479,152.38234486896545,0,0,0,24,development
POD160,0.7675,2.5057,3.0153,3.0153,—,224.34570803306997,225.2865068614483,0,0,0,24,development
POD224,0.3988,1.2100,1.5306,1.5306,—,284.54044891986996,285.34712803084403,0,0,0,24,development
POD256,0.3292,1.0363,1.2631,1.2631,—,316.5672984905541,317.51212660456076,0,0,0,24,development
"FNO, time interpolation",1.6413,1.9979,1.9979,0.0000,—,5.862442078068852,6.687283527571707,0,0,0,24,development
"U-Net, time interpolation",1.6239,1.9129,1.9129,0.0000,—,2.212456543929875,2.6330185704864557,0,0,0,24,development
"DeepONet, time interpolation",7.9145,21.1988,21.1988,0.0000,—,2.533562481403351,3.0090815736912186,0,0,0,24,development
"Transolver, time interpolation",1.8700,3.7391,3.7391,0.0000,—,3.5454960307106376,3.887987113557756,0,0,0,24,development
"FOM n1e-02, l5e-01",1.2739,1.6185,1.6185,0.0000,—,16.068436903879046,16.725032101385295,0,0,0,24,development
"FOM n1e-02, l5e-03",0.0382,0.6543,0.6543,0.0000,—,17.93984742835164,20.570609741844237,0,0,0,24,development
"FOM n1e-03, l5e-01",0.4692,0.5248,0.5248,0.0000,—,19.75282351486385,21.495199401397258,0,0,0,24,development
"FOM n1e-04, l5e-01",0.0267,0.0303,0.0303,0.0000,—,32.49379945918918,34.085754479747266,0,0,0,24,development
"FOM n1e-04, l1e-06",0.0188,0.0207,0.0207,0.0000,—,37.3939914861694,41.50546385208145,0,0,0,24,development
"FOM n1e-06, l1e-01",0.0002,0.0003,0.0003,0.0000,—,48.15637751016766,50.22974177263677,0,0,0,24,development
