method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K32, q0",1.1494,5.9683,10.6852,10.6852,5.9471,37.1430276427418,48.91870217397809,0,0,0,48,development
"NM-ROM K32, q8",1.0223,5.1921,9.3616,9.3616,5.1727,40.12610204517841,80.2831262350082,0,0,5,48,development
"NM-ROM K32, q32",0.8224,4.4151,8.1774,8.1774,4.3959,40.44546792283654,56.68525197543204,0,0,1,48,development
"NM-ROM K32, q64",0.5591,3.1815,5.9583,5.9583,3.1683,52.32224939391017,92.2582199331373,0,0,5,48,development
"NM-ROM K32, q96",0.3903,1.3555,3.1004,3.1004,1.3466,113.59022464603186,151.65069042705,0,0,1,48,development
"Full bank, exact Galerkin",0.2563,1.3166,3.0591,3.0591,1.3115,0.5639598239213228,0.7664896547794342,0,0,1,48,development
"Full bank, exact weak",0.2542,1.3113,3.0639,3.0639,1.3087,1.4954705256968737,1.6942791873589158,0,0,0,48,development
POD32,3.0811,9.3730,16.6440,16.6440,9.3524,0.31064171344041824,0.6471791537478566,0,0,9,48,development
POD128,0.1414,1.2338,2.6795,2.6795,1.2298,0.565017806366086,0.6164205027744174,0,0,0,48,development
"FNO, direct transfer",15.1234,17.6641,17.6641,0.0000,17.7688,16.246385173872113,17.031104513444006,0,0,0,48,development
"FNO, native + interpolation",0.7669,0.9891,0.9891,0.0000,0.9391,10.68119565024972,11.59196849912405,0,0,0,48,development
"U-Net, direct transfer",75.7115,92.6756,92.6756,0.0000,92.8275,10.960319079458714,11.808467609807849,0,0,0,48,development
"U-Net, native + interpolation",0.7512,0.9468,0.9468,0.0000,0.8996,4.240056499838829,4.763555689714849,0,0,0,48,development
"DeepONet, direct transfer",33.8829,52.5118,52.5118,0.0000,52.4733,11.269503738731146,12.017115019261837,0,0,0,48,development
"DeepONet, native + interpolation",7.0168,21.7903,21.7903,0.0000,21.7279,4.029097966849804,4.544667876325548,0,0,0,48,development
"Transolver, direct transfer",19.8616,25.2954,25.2954,0.0000,25.2677,20.827785367146134,22.118418663740158,0,0,0,48,development
"Transolver, native + interpolation",0.9475,1.2766,1.2766,0.0000,1.2793,6.854193285107613,7.951854285784066,0,0,0,48,development
Direct DST,0.0000,0.0000,0.0000,0.0000,0.1273,1.5905573964118958,1.9264114554971457,0,0,0,48,development
