method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K16, q0",1.0804,5.8427,11.0119,11.0119,5.8223,18.392188008874655,36.0531089711003,0,2,6,48,stopping failures
"NM-ROM K16, q8",1.0426,5.2535,10.2925,10.2925,5.2332,18.29407550394535,23.042087710928172,0,0,0,48,development
"NM-ROM K16, q32",0.8752,4.8852,9.2332,9.2332,4.8649,19.60843603592366,21.957032952923328,0,0,0,48,development
"NM-ROM K16, q64",0.5892,3.9930,7.5746,7.5746,3.9779,20.528000546619296,24.009492842014875,0,0,0,48,development
"NM-ROM K16, q96",0.3697,2.9628,5.4639,5.4639,2.9521,24.58093094173819,37.25389073370023,0,1,3,48,stopping failures
"Full bank, exact Galerkin",0.2563,1.3166,3.0591,3.0591,1.3115,0.5143885500729084,0.7815053453668951,0,0,3,48,development
"Full bank, exact weak",0.2542,1.3113,3.0639,3.0639,1.3087,1.4213405083864927,1.702169084455818,0,0,0,48,development
POD16,8.6633,25.1877,36.5082,36.5082,25.1487,0.24834054056555033,0.731125008314848,0,0,12,48,development
POD128,0.1414,1.2338,2.6795,2.6795,1.2298,0.5074464716017246,0.7583195576444268,0,0,3,48,development
"FNO, direct transfer",15.1234,17.6641,17.6641,0.0000,17.7688,10.980905499309301,11.365846276748925,0,0,0,48,development
"FNO, native + interpolation",0.7669,0.9891,0.9891,0.0000,0.9391,7.140023983083665,7.854952733032405,0,0,0,48,development
"U-Net, direct transfer",75.7115,92.6756,92.6756,0.0000,92.8275,7.0473975501954556,7.567021797876805,0,0,0,48,development
"U-Net, native + interpolation",0.7512,0.9468,0.9468,0.0000,0.8996,3.3193754497915506,3.7033719709143043,0,0,0,48,development
Direct DST,0.0000,0.0000,0.0000,0.0000,0.1273,1.3285850873216987,1.7573975608684123,0,0,1,48,development
