method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K16, q0",28.5319,50.4758,53.7445,53.7445,50.4758,901.362391654402,903.7801333935931,0,0,0,24,development
"NM-ROM K16, q16",28.2539,49.9583,53.1214,53.1214,49.9583,969.4843245670199,973.4041548334062,0,0,0,24,development
"NM-ROM K16, q32",27.8899,49.2381,52.3195,52.3195,49.2381,1092.3418984748423,1096.6464101569727,0,0,0,24,development
"NM-ROM K16, q64",27.0931,47.6297,50.5176,50.5176,47.6297,1588.9250044710934,1594.3825322203338,0,0,0,24,development
"NM-ROM K16, q128",25.2664,45.3348,46.7275,46.7275,45.3345,2226.148030022159,2240.0610278360546,0,0,0,24,development
"Full bank, Galerkin R512",13.4503,24.2696,24.2696,17.7985,24.2689,49.40491169691086,49.60143284406513,0,0,0,24,development
"POD16, weak solve",87.7996,91.9857,94.8670,94.8670,91.9857,24.464707588776946,25.740518048405647,0,0,0,24,development
"POD32, weak solve",78.1203,85.5263,89.3108,89.3108,85.5263,27.380996150895953,28.38369149249047,0,0,0,24,development
"POD48, weak solve",67.3545,76.1070,82.4515,82.4515,76.1069,35.5581627227366,36.24617133755237,0,0,0,24,development
"POD128, Galerkin",34.5481,47.3334,50.1174,50.1174,47.3334,5.889241816475987,6.076188269071281,0,0,0,24,development
"POD256, Galerkin",24.8410,36.0594,36.0594,34.7360,36.0592,12.232577661052346,12.50040540471673,0,0,0,24,development
"POD512, Galerkin",15.2837,27.7537,27.7537,21.6223,27.7535,49.32672739960253,49.54253085888922,0,0,0,24,development
"FOM, dt 0.001",0.0031,0.0051,0.0051,0.0000,0.3651,25.763332610949874,26.67366883251816,0,0,0,24,development
"FOM, dt 0.002",0.0130,0.0213,0.0213,0.0000,0.3663,13.268111972138286,13.717119116336107,0,0,0,24,development
"FOM, dt 0.004",0.0524,0.0866,0.0866,0.0000,0.3745,7.055850001052022,7.507208990864456,0,0,0,24,development
"FOM, dt 0.008",0.2125,0.3598,0.3598,0.0000,0.4711,3.9359412621706724,4.360506520606577,0,0,0,24,development
"FNO, raw",1.3422,1.7664,1.7664,0.0000,1.7604,9.553936077281833,10.079588601365685,0,0,0,24,development
"FNO, projected",1.0974,1.5121,1.5121,0.0000,1.5183,9.596131974831223,10.390218021348119,0,0,0,24,development
"U-Net, raw",3.4540,4.6468,4.6468,0.0000,4.6463,2.01868312433362,2.3733110865578055,0,0,0,24,development
"U-Net, projected",3.0414,4.2830,4.2830,0.0000,4.2809,2.128413412719965,2.7513557579368353,0,0,1,24,development
