method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K16, q0",28.5319,50.4758,53.7445,53.7445,50.4758,779.2309204814956,781.4973887754604,0,0,0,24,development
"NM-ROM K16, q16",28.2539,49.9583,53.1214,53.1214,49.9583,810.7850985834375,812.3901180922985,0,0,0,24,development
"NM-ROM K16, q32",27.8899,49.2381,52.3195,52.3195,49.2381,970.1974409399554,973.2367303455248,0,0,0,24,development
"NM-ROM K16, q64",27.0931,47.6297,50.5176,50.5176,47.6297,1297.2976085729897,1302.6367874350399,0,0,0,24,development
"NM-ROM K16, q128",25.2664,45.3348,46.7275,46.7275,45.3345,1865.9993754699826,1873.512717988342,0,0,0,24,development
"Full bank, Galerkin R512",13.4503,24.2696,24.2696,17.7985,24.2689,43.87835250236094,44.15606439579278,0,0,0,24,development
"POD16, weak solve",87.7996,91.9857,94.8670,94.8670,91.9857,25.083605432882905,26.988625945523378,0,0,0,24,development
"POD32, weak solve",78.1203,85.5263,89.3108,89.3108,85.5263,27.511371532455087,28.05492231855169,0,0,0,24,development
"POD48, weak solve",67.3545,76.1070,82.4515,82.4515,76.1069,35.0811769021675,35.299818275962025,0,0,0,24,development
"POD128, Galerkin",34.5481,47.3334,50.1174,50.1174,47.3334,5.609369953162968,5.83207217277959,0,0,0,24,development
"POD256, Galerkin",24.8410,36.0594,36.0594,34.7360,36.0592,11.293510906398296,11.345057899598032,0,0,0,24,development
"POD512, Galerkin",15.2837,27.7537,27.7537,21.6223,27.7535,43.89512597117573,44.10519077209756,0,0,0,24,development
"FOM, dt 0.001",0.0031,0.0051,0.0051,0.0000,0.3651,24.71157256513834,25.47501267399639,0,0,0,24,development
"FOM, dt 0.002",0.0130,0.0213,0.0213,0.0000,0.3663,12.809647363610566,13.163315830752254,0,0,0,24,development
"FOM, dt 0.004",0.0524,0.0866,0.0866,0.0000,0.3745,6.886236951686442,7.224487420171499,0,0,0,24,development
"FOM, dt 0.008",0.2125,0.3598,0.3598,0.0000,0.4711,3.8932496681809425,4.227307031396776,0,0,0,24,development
"FNO, raw",1.3422,1.7664,1.7664,0.0000,1.7604,8.786904625594616,10.314987518358974,0,0,0,24,development
"FNO, projected",1.0974,1.5121,1.5121,0.0000,1.5183,8.969507878646255,12.449269392527633,0,0,1,24,development
"U-Net, raw",3.4540,4.6468,4.6468,0.0000,4.6463,1.9815235864371061,2.111867896746844,0,0,0,24,development
"U-Net, projected",3.0414,4.2830,4.2830,0.0000,4.2809,2.0937154768034816,2.2119663772173226,0,0,0,24,development
"DeepONet, raw",36.8223,45.3970,45.3970,0.0000,45.3965,4.123664926737547,4.3617238639853895,0,0,0,24,development
"DeepONet, Leray projected",35.8894,44.8450,44.8450,0.0000,44.8449,4.372066934593022,4.59994146367535,0,0,0,24,development
"Transolver, raw",2.2017,2.9715,2.9715,0.0000,2.9295,3.316694521345198,4.435500968247651,0,0,1,24,development
"Transolver, Leray projected",1.3773,2.0366,2.0366,0.0000,2.0439,3.3980205189436674,4.5531139709055415,0,0,1,24,development
