pde,attempt,name,parameters,requested_steps,completed_steps,selected_step,training_seed,batch_size,initial_learning_rate,exit_reason
Burgers 3D,b3d003,fno3d,1771431,20000,20000,16100,920310,2,0.001,steps
Burgers 3D,b3d003,unet3d,89431,20000,20000,17500,920311,2,0.001,steps
Heat 3D,tune02,fno3d_w16_m6,1771349,20000,20000,19500,920321,4,0.001,steps
Heat 3D,tune02,unet3d_w8,89197,20000,20000,20000,920322,4,0.001,steps
Poisson 3D,extra03,fno3d_w24_m8,9440953,30000,30000,26750,920450,2,0.0005,steps
Poisson 3D,extra03,unet3d_w16,354577,30000,30000,28750,920451,2,0.0005,steps
Poisson 3D,extra03,deeponet3d_r128_w16,791697,30000,30000,29000,920452,2,0.001,steps
Poisson 3D,extra03,transolver3d_w48_s32,561272,30000,30000,29750,920453,2,0.001,steps
Navier–Stokes 3D,comparison02,fno3d,4196511,8000,8000,7100,202609205,2,0.001,steps
Navier–Stokes 3D,comparison02,unet3d,89287,8000,8000,7900,202609206,2,0.001,steps
