method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K16, q0",0.2149,0.5726,—,—,0.5707,3.389785997569561,3.964995080605149,0,0,0,48,development
"NM-ROM K16, q16",0.1492,0.4580,—,—,0.4629,3.434675047174096,4.269136465154588,0,0,0,48,development
"NM-ROM K16, q32",0.1159,0.3215,—,—,0.3252,3.3011259511113167,4.112847871147096,0,0,0,48,development
"NM-ROM K16, q64",0.0687,0.2001,—,—,0.2113,3.4654014743864536,4.269154183566569,0,0,0,48,development
"NM-ROM K16, q96",0.0539,0.1598,—,—,0.1739,3.5658753477036953,4.219053639099002,0,0,0,48,development
"Full bank, weak solve",0.0520,0.1444,—,—,0.1599,0.9444914758205414,1.0494920192286372,0,0,0,48,development
"Full bank, Galerkin",0.0530,0.1474,—,—,0.1624,0.47938176430761814,0.7407114142552017,0,0,3,48,development
POD16,1.8304,5.2702,—,—,5.2463,0.20270352251827717,0.5543782142922278,0,0,5,48,development
POD48,0.1484,0.5576,—,—,0.5639,0.2872869372367859,0.4030383424833417,0,0,2,48,development
POD128,0.0066,0.0360,—,—,0.0771,0.47995918430387974,0.7612825836986302,0,0,4,48,development
"FNO, direct transfer",16.0680,17.1866,—,—,17.2392,17.107075545936823,17.67777951899916,0,0,0,48,development
"FNO, native + interpolation",0.2852,0.3656,—,—,0.3525,11.197306448593736,11.617217096500099,0,0,0,48,development
"U-Net, direct transfer",168.0982,219.8928,—,—,220.0031,12.157405959442258,12.51288300845772,0,0,0,48,development
"U-Net, native + interpolation",0.2828,0.3769,—,—,0.3562,4.261985654011369,4.711936064995825,0,0,0,48,development
"DeepONet, direct transfer",16.7244,26.8325,—,—,26.8588,7.221092004328966,7.538194674998522,0,0,0,48,development
"DeepONet, native + interpolation",2.1141,4.2024,—,—,4.1808,3.0157198198139668,3.2606262248009443,0,0,0,48,development
"Transolver, direct transfer",16.9674,22.0653,—,—,22.0984,12.71902583539486,13.381902291439474,0,0,0,48,development
"Transolver, native + interpolation",0.7201,1.0698,—,—,1.0700,4.492939915508032,5.310659762471914,0,0,0,48,development
Direct DST,0.0000,0.0000,—,—,0.0687,0.2199225127696991,0.501313619315624,0,0,6,48,development
