method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K16, q0",0.2149,0.5726,—,—,0.5707,3.1911376863718033,3.9542115991935134,0,0,0,48,development
"NM-ROM K16, q16",0.1492,0.4580,—,—,0.4629,3.251808462664485,4.1887403931468725,0,0,0,48,development
"NM-ROM K16, q32",0.1159,0.3215,—,—,0.3252,3.230032045394182,3.980239131487906,0,0,0,48,development
"NM-ROM K16, q64",0.0687,0.2001,—,—,0.2113,3.2868299167603254,3.9839863311499353,0,0,0,48,development
"NM-ROM K16, q96",0.0539,0.1598,—,—,0.1739,3.282095305621624,4.09672933164984,0,0,0,48,development
"Full bank, weak solve",0.0520,0.1444,—,—,0.1599,0.8937504608184099,1.0209527099505067,0,0,1,48,development
"Full bank, Galerkin",0.0530,0.1474,—,—,0.1624,0.4725216422230005,0.7260253885760901,0,0,3,48,development
POD16,1.8304,5.2702,—,—,5.2463,0.20558550022542477,0.6730491295456885,0,0,8,48,development
POD128,0.0066,0.0360,—,—,0.0771,0.46461145393550396,0.7644213270395993,0,0,5,48,development
"FNO, direct transfer",16.0680,17.1866,—,—,17.2392,17.49325613491237,18.1996111292392,0,0,0,48,development
"FNO, native + interpolation",0.2852,0.3656,—,—,0.3525,11.579343350604177,12.242835015058517,0,0,0,48,development
"U-Net, direct transfer",168.0982,219.8928,—,—,220.0031,11.985014891251922,12.626733048819005,0,0,0,48,development
"U-Net, native + interpolation",0.2828,0.3769,—,—,0.3562,4.32779430411756,4.8871478997170925,0,0,0,48,development
Direct DST,0.0000,0.0000,—,—,0.0687,0.22882805205881596,0.5806630477309226,0,0,10,48,development
